科目	2015-12-31	科目	2015-12-31
货币资金	748,417,189.70	短期借款	148,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	2,919,420.22	应付账款	330,570,240.48
预付款项	169,541,763.59	预收款项	1,090,550,534.72
其他应收款	25,996,679.79	应付职工薪酬	17,933,715.06
应收关联公司款		应交税费	34,882,005.20
应收利息		应付利息	2,336,166.67
应收股利		应付股利	
存货	3,384,658,365.02	其他应付款	60,236,590.25
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,243,033,600.00
其他流动资产	92,227,162.28	其他流动负债	
流动资产合计	4,423,760,580.60	流动负债合计	2,927,542,852.38
可供出售金融资产	5,200,000.00	长期借款	376,666,400.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	202,750,368.87	专项应付款	
投资性房地产	99,130,580.35	预计负债	
固定资产	145,815,972.81	递延所得税负债	4,201,949.46
在建工程	96,862,995.56	其他非流动负债	
工程物资		非流动负债合计	402,395,370.02
固定资产清理		负债合计	3,329,938,222.40
生产性生物资产		实收资本(或股本)	809,095,632.00
油气资产		资本公积	51,563,213.68
无形资产	6,798,972.19	盈余公积	110,072,906.61
开发支出		减:库存股	
商誉	7,260,749.12	未分配利润	725,491,918.62
长期待摊费用	3,460,511.96	少数股东权益	14,595,801.82
递延所得税资产	49,716,963.67	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	616,997,114.53	所有者权益(或股东权益)合计	1,710,819,472.73
资产总计	5,040,757,695.13	负债和所有者(或股东权益)合计	5,040,757,695.13
科目	2015年度	科目	2015年度
一、营业收入	1,349,018,042.74	二、营业利润	106,629,358.57
减:营业成本	938,511,680.04	加:补贴收入	
营业税金及附加	119,803,870.45	营业外收入	3,542,484.36
销售费用	53,026,370.88	减:营业外支出	129,679.94
管理费用	66,953,428.71	其中:非流动资产处置净损失	78,282.65
堪探费用		加:影响利润总额的其他科目	
财务费用	9,331,216.74	三、利润总额	110,042,162.99
资产减值损失	790,330.70	减:所得税	48,096,871.89
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-53,971,786.65	四、净利润	61,945,291.10
其中:对联营企业和合营企业的投资权益	-54,422,097.32	归属于母公司所有者的净利润	63,879,330.43
影响营业利润的其他科目		少数股东损益	-1,934,039.33

