科目	2015-12-31	科目	2015-12-31
货币资金	3,175,028,357.56	短期借款	10,657,267,141.49
交易性金融资产	1,013.16	交易性金融负债	
应收票据	80,000.00	应付票据	48,666,964.00
应收账款	416,788,953.32	应付账款	1,569,491,416.37
预付款项	407,741,796.28	预收款项	2,259,970,133.25
其他应收款	638,398,073.10	应付职工薪酬	53,541,804.60
应收关联公司款		应交税费	335,872,859.51
应收利息		应付利息	45,021,369.20
应收股利	8,584,236.29	应付股利	5,734,681.65
存货	11,399,710,550.24	其他应付款	1,103,204,310.65
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	670,700,000.00
其他流动资产	196,000,000.00	其他流动负债	
流动资产合计	16,242,332,979.95	流动负债合计	16,749,470,680.72
可供出售金融资产	792,040,541.87	长期借款	1,399,999,067.54
持有至到期投资		应付债券	
长期应收款		长期应付款	841,893,337.73
长期股权投资	576,411,677.60	专项应付款	34,016,721.56
投资性房地产	9,996,139,458.48	预计负债	4,983,729.82
固定资产	1,039,191,348.88	递延所得税负债	156,789,554.76
在建工程	57,776,227.17	其他非流动负债	224,327,752.07
工程物资		非流动负债合计	2,833,400,356.08
固定资产清理		负债合计	19,582,871,036.80
生产性生物资产		实收资本(或股本)	1,135,349,124.00
油气资产		资本公积	3,902,372,395.29
无形资产	88,732,614.56	盈余公积	557,629,005.88
开发支出		减:库存股	
商誉		未分配利润	2,979,043,301.72
长期待摊费用	49,744,873.34	少数股东权益	380,494,795.39
递延所得税资产	137,613,087.08	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	12,737,649,828.98	所有者权益(或股东权益)合计	9,397,111,772.13
资产总计	28,979,982,808.93	负债和所有者(或股东权益)合计	28,979,982,808.93
科目	2015年度	科目	2015年度
一、营业收入	7,894,846,028.59	二、营业利润	797,367,460.75
减:营业成本	5,969,549,067.85	加:补贴收入	
营业税金及附加	389,425,224.88	营业外收入	62,908,769.54
销售费用	224,929,280.55	减:营业外支出	6,163,192.76
管理费用	380,333,862.50	其中:非流动资产处置净损失	3,522,526.23
堪探费用		加:影响利润总额的其他科目	
财务费用	173,821,156.39	三、利润总额	854,113,037.53
资产减值损失	4,882,928.92	减:所得税	271,021,059.02
加:公允价值变动净收益	60.41	加:影响净利润的其他科目	
投资收益	45,462,892.84	四、净利润	583,091,978.51
其中:对联营企业和合营企业的投资权益	28,093,134.72	归属于母公司所有者的净利润	539,417,079.74
影响营业利润的其他科目		少数股东损益	43,674,898.77

