科目	2015-12-31	科目	2015-12-31
货币资金	114,124,018.13	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	1,728,510.44	应付账款	16,195,438.86
预付款项	74,614,305.74	预收款项	3,243,254.40
其他应收款	3,335,244.57	应付职工薪酬	3,485,435.47
应收关联公司款		应交税费	3,339,526.43
应收利息	10,950,336.99	应付利息	
应收股利		应付股利	8,516.69
存货	154,073,654.32	其他应付款	165,847,117.74
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	7,500,000.00	一年内到期的非流动负债	263,250.00
其他流动资产		其他流动负债	
流动资产合计	366,326,070.19	流动负债合计	192,382,539.59
可供出售金融资产		长期借款	
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	345,392.03	专项应付款	
投资性房地产		预计负债	
固定资产	31,354,218.38	递延所得税负债	
在建工程	497,648.62	其他非流动负债	
工程物资		非流动负债合计	
固定资产清理		负债合计	192,382,539.59
生产性生物资产		实收资本(或股本)	184,819,607.00
油气资产		资本公积	22,820,326.72
无形资产	65,141.12	盈余公积	6,885,074.86
开发支出		减:库存股	
商誉	3,507,029.34	未分配利润	-34,348,086.77
长期待摊费用	2,603,996.19	少数股东权益	32,140,034.47
递延所得税资产		外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	38,373,425.68	所有者权益(或股东权益)合计	212,316,956.28
资产总计	404,699,495.87	负债和所有者(或股东权益)合计	404,699,495.87
科目	2015年度	科目	2015年度
一、营业收入	19,764,545.40	二、营业利润	-23,986,357.41
减:营业成本	12,491,288.73	加:补贴收入	
营业税金及附加	1,396,754.98	营业外收入	418,749.75
销售费用	599,086.22	减:营业外支出	471,360.20
管理费用	29,849,230.09	其中:非流动资产处置净损失	87,940.73
堪探费用		加:影响利润总额的其他科目	
财务费用	-277,337.34	三、利润总额	-24,038,967.86
资产减值损失	4,748,066.60	减:所得税	164,770.79
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	5,056,186.47	四、净利润	-24,203,738.65
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	-23,677,901.67
影响营业利润的其他科目		少数股东损益	-525,836.98

