科目	2015-12-31	科目	2015-12-31
货币资金	1,842,635,762.77	短期借款	3,594,000,000.00
交易性金融资产		交易性金融负债	
应收票据	227,779,884.32	应付票据	
应收账款	58,325,916.52	应付账款	648,522,511.11
预付款项	23,834,360.21	预收款项	2,228,232,189.67
其他应收款	67,561,143.43	应付职工薪酬	18,497,725.07
应收关联公司款		应交税费	384,954,028.84
应收利息		应付利息	29,789,583.21
应收股利		应付股利	1,199,713.69
存货	12,822,760,361.42	其他应付款	3,750,885,262.37
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	908,599,268.56
其他流动资产	174,928,367.39	其他流动负债	
流动资产合计	15,217,825,796.06	流动负债合计	11,564,680,282.52
可供出售金融资产	32,185,000.00	长期借款	2,985,995,297.74
持有至到期投资		应付债券	
长期应收款		长期应付款	5,733,841.24
长期股权投资	1,250,000.00	专项应付款	
投资性房地产	1,573,499,963.31	预计负债	
固定资产	583,915,097.95	递延所得税负债	
在建工程	74,311,633.51	其他非流动负债	
工程物资		非流动负债合计	2,992,729,138.98
固定资产清理		负债合计	14,557,409,421.50
生产性生物资产		实收资本(或股本)	1,445,241,071.00
油气资产		资本公积	260,151,008.29
无形资产	54,840,998.13	盈余公积	211,587,622.85
开发支出		减:库存股	
商誉	1,260,954.11	未分配利润	541,665,020.54
长期待摊费用	42,701,219.47	少数股东权益	739,462,327.02
递延所得税资产	153,570,750.59	外币报表折算价差	
其他非流动资产	20,155,058.07	非正常经营项目收益调整	
非流动资产合计	2,537,690,675.14	所有者权益(或股东权益)合计	3,198,107,049.70
资产总计	17,755,516,471.20	负债和所有者(或股东权益)合计	17,755,516,471.20
科目	2015年度	科目	2015年度
一、营业收入	2,746,493,376.84	二、营业利润	-1,026,416,595.67
减:营业成本	1,782,908,268.88	加:补贴收入	
营业税金及附加	235,008,449.29	营业外收入	61,425,253.94
销售费用	149,427,257.24	减:营业外支出	3,371,901.46
管理费用	132,821,793.02	其中:非流动资产处置净损失	239,032.47
堪探费用		加:影响利润总额的其他科目	
财务费用	204,818,613.72	三、利润总额	-968,363,243.19
资产减值损失	1,315,064,570.33	减:所得税	148,071,898.42
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	47,138,979.97	四、净利润	-1,116,435,141.61
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	-1,158,430,154.43
影响营业利润的其他科目		少数股东损益	41,995,012.82

