科目	2015-12-31	科目	2015-12-31
货币资金	330,786,401.11	短期借款	379,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	365,234,244.29	应付账款	464,634,178.32
预付款项	9,265,644.95	预收款项	366,961,257.17
其他应收款	85,089,962.77	应付职工薪酬	13,514,827.12
应收关联公司款		应交税费	35,237,036.71
应收利息		应付利息	854,908.85
应收股利		应付股利	
存货	1,955,256,723.64	其他应付款	34,275,637.20
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	175,000,000.00
其他流动资产	38,969,945.84	其他流动负债	
流动资产合计	2,784,602,922.60	流动负债合计	1,469,477,845.37
可供出售金融资产		长期借款	150,000,000.00
持有至到期投资		应付债券	
长期应收款	1,046,502,773.94	长期应付款	
长期股权投资		专项应付款	
投资性房地产	153,499,868.47	预计负债	1,027,506.75
固定资产	48,303,327.24	递延所得税负债	7,048,868.52
在建工程		其他非流动负债	
工程物资		非流动负债合计	158,076,375.27
固定资产清理		负债合计	1,627,554,220.64
生产性生物资产		实收资本(或股本)	465,032,880.00
油气资产		资本公积	978,515,263.35
无形资产	2,546,623.40	盈余公积	199,558,627.34
开发支出		减:库存股	
商誉		未分配利润	775,414,693.15
长期待摊费用	385,771.73	少数股东权益	176,746.98
递延所得税资产	10,411,144.08	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,261,649,508.86	所有者权益(或股东权益)合计	2,418,698,210.82
资产总计	4,046,252,431.46	负债和所有者(或股东权益)合计	4,046,252,431.46
科目	2015年度	科目	2015年度
一、营业收入	372,888,466.21	二、营业利润	12,919,693.76
减:营业成本	270,739,679.60	加:补贴收入	
营业税金及附加	24,775,181.09	营业外收入	439,184.41
销售费用	2,696,766.94	减:营业外支出	2,711,152.69
管理费用	61,312,797.00	其中:非流动资产处置净损失	53,480.33
堪探费用		加:影响利润总额的其他科目	
财务费用	50,631,685.13	三、利润总额	10,647,725.48
资产减值损失	16,102,469.27	减:所得税	5,990,792.91
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	66,289,806.58	四、净利润	4,656,932.57
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	4,679,634.98
影响营业利润的其他科目		少数股东损益	-22,702.41

