科目	2015-12-31	科目	2015-12-31
货币资金	43,808,699,110.69	短期借款	25,534,762,053.81
交易性金融资产	4,114,476,914.32	交易性金融负债	
应收票据	1,041,114,617.37	应付票据	4,003,829,253.78
应收账款	13,326,508,176.70	应付账款	84,662,220,712.20
预付款项	22,724,059,833.69	预收款项	119,357,842,484.93
其他应收款	43,736,086,666.51	应付职工薪酬	369,821,463.37
应收关联公司款		应交税费	9,662,326,341.54
应收利息	84,053,937.30	应付利息	845,326,926.80
应收股利	1,091,907,999.15	应付股利	506,935,115.99
存货	397,061,121,206.66	其他应付款	65,316,276,145.55
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	6,011,574,039.17	一年内到期的非流动负债	40,453,593,372.42
其他流动资产	9,337,610,427.75	其他流动负债	530,304,634.33
流动资产合计	542,337,212,929.31	流动负债合计	351,495,238,504.72
可供出售金融资产	5,496,348,686.86	长期借款	141,972,719,683.07
持有至到期投资	427,398,406.58	应付债券	31,914,137,831.72
长期应收款	493,444,218.54	长期应付款	44,508,602.56
长期股权投资	7,212,911,376.70	专项应付款	9,508,468.36
投资性房地产	17,760,149,048.17	预计负债	226,454,999.83
固定资产	11,854,506,703.81	递延所得税负债	1,265,383,669.39
在建工程	573,336,070.09	其他非流动负债	1,179,446,120.95
工程物资	53,748.47	非流动负债合计	177,107,892,969.14
固定资产清理	618,614.79	负债合计	528,603,131,473.86
生产性生物资产		实收资本(或股本)	12,168,154,385.00
油气资产		资本公积	9,038,812,950.86
无形资产	2,253,051,358.30	盈余公积	3,253,711,950.27
开发支出		减:库存股	
商誉	1,850,326,050.41	未分配利润	27,248,384,133.02
长期待摊费用	1,491,195,168.73	少数股东权益	18,757,184,495.87
递延所得税资产	3,973,447,220.85	外币报表折算价差	
其他非流动资产	4,485,052,755.07	非正常经营项目收益调整	
非流动资产合计	58,098,857,496.62	所有者权益(或股东权益)合计	71,832,938,952.07
资产总计	600,436,070,425.93	负债和所有者(或股东权益)合计	600,436,070,425.93
科目	2015年度	科目	2015年度
一、营业收入	207,256,594,799.38	二、营业利润	10,184,711,817.50
减:营业成本	176,673,055,996.43	加:补贴收入	
营业税金及附加	11,069,433,221.62	营业外收入	842,652,208.07
销售费用	4,950,683,264.27	减:营业外支出	452,083,349.95
管理费用	5,748,749,897.31	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	3,168,174,883.57	三、利润总额	10,575,280,675.62
资产减值损失	1,863,789,819.70	减:所得税	3,190,508,450.69
加:公允价值变动净收益	1,666,781,858.60	加:影响净利润的其他科目	
投资收益	4,472,892,472.49	四、净利润	7,384,772,224.93
其中:对联营企业和合营企业的投资权益	509,298,759.70	归属于母公司所有者的净利润	6,886,426,698.71
影响营业利润的其他科目		少数股东损益	498,345,526.22

