科目	2015-12-31	科目	2015-12-31
货币资金	5,918,197,216.19	短期借款	8,661,760,000.00
交易性金融资产		交易性金融负债	
应收票据	884,777.38	应付票据	
应收账款	486,180,362.06	应付账款	1,718,981,624.25
预付款项	6,494,811,163.67	预收款项	6,999,161,401.52
其他应收款	477,366,539.04	应付职工薪酬	126,947,016.45
应收关联公司款		应交税费	411,855,017.62
应收利息	40,433,172.53	应付利息	154,192,951.87
应收股利	8,659,707.34	应付股利	731,383.20
存货	31,722,736,888.01	其他应付款	682,850,052.14
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	5,588,327,595.89
其他流动资产	2,517,235,108.27	其他流动负债	
流动资产合计	47,666,504,934.49	流动负债合计	24,344,807,042.94
可供出售金融资产	1,444,874,890.48	长期借款	13,174,803,000.00
持有至到期投资		应付债券	3,075,684,166.67
长期应收款	26,859,035.40	长期应付款	2,257,000,000.00
长期股权投资	613,039,073.52	专项应付款	
投资性房地产	1,041,867,206.48	预计负债	1,186,470.34
固定资产	75,176,914.71	递延所得税负债	176,237,354.00
在建工程		其他非流动负债	202,101,363.81
工程物资		非流动负债合计	19,094,683,334.82
固定资产清理	5,747.09	负债合计	43,439,490,377.76
生产性生物资产		实收资本(或股本)	1,524,260,442.00
油气资产		资本公积	1,542,762,376.77
无形资产	2,387,831.92	盈余公积	
开发支出		减:库存股	
商誉	94,981,050.04	未分配利润	5,225,801,995.06
长期待摊费用	5,246,560.26	少数股东权益	299,796,400.60
递延所得税资产	435,789,157.18	外币报表折算价差	
其他非流动资产	777,393,142.41	非正常经营项目收益调整	
非流动资产合计	4,517,620,609.49	所有者权益(或股东权益)合计	8,744,635,166.22
资产总计	52,184,125,543.98	负债和所有者(或股东权益)合计	52,184,125,543.98
科目	2015年度	科目	2015年度
一、营业收入	8,135,592,908.88	二、营业利润	1,031,998,844.07
减:营业成本	5,779,187,192.09	加:补贴收入	
营业税金及附加	741,362,764.27	营业外收入	31,481,197.16
销售费用	226,936,554.49	减:营业外支出	1,292,908.07
管理费用	390,952,555.41	其中:非流动资产处置净损失	31,330.77
堪探费用		加:影响利润总额的其他科目	
财务费用	241,938,772.08	三、利润总额	1,062,187,133.16
资产减值损失	9,248,885.98	减:所得税	249,455,562.26
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	286,032,659.51	四、净利润	812,731,570.90
其中:对联营企业和合营企业的投资权益	130,309,505.33	归属于母公司所有者的净利润	860,166,044.10
影响营业利润的其他科目		少数股东损益	-47,434,473.20

