科目	2015-12-31	科目	2015-12-31
货币资金	2,480,534,715.18	短期借款	835,030,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	3,570,000.00
应收账款	266,432,062.36	应付账款	1,477,707,063.07
预付款项	2,172,116,430.80	预收款项	723,950,750.59
其他应收款	724,193,688.98	应付职工薪酬	5,894,218.14
应收关联公司款		应交税费	279,786,623.56
应收利息		应付利息	72,193,750.02
应收股利		应付股利	
存货	13,384,492,371.90	其他应付款	1,660,406,246.29
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	937,500,000.00
其他流动资产		其他流动负债	
流动资产合计	19,027,769,269.22	流动负债合计	5,996,038,651.67
可供出售金融资产		长期借款	6,426,000,000.00
持有至到期投资		应付债券	3,470,842,697.58
长期应收款	10,000,000.00	长期应付款	
长期股权投资	6,263,527.55	专项应付款	
投资性房地产		预计负债	
固定资产	31,307,228.74	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	9,896,842,697.58
固定资产清理		负债合计	15,892,881,349.25
生产性生物资产		实收资本(或股本)	1,458,831,420.00
油气资产		资本公积	17,030,107.64
无形资产		盈余公积	138,760,767.63
开发支出		减:库存股	
商誉		未分配利润	1,318,457,325.16
长期待摊费用	269,313.68	少数股东权益	260,699,316.11
递延所得税资产	11,050,946.60	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	58,891,016.57	所有者权益(或股东权益)合计	3,193,778,936.54
资产总计	19,086,660,285.79	负债和所有者(或股东权益)合计	19,086,660,285.79
科目	2015年度	科目	2015年度
一、营业收入	3,050,881,882.71	二、营业利润	192,749,477.62
减:营业成本	2,077,935,244.73	加:补贴收入	
营业税金及附加	665,398,561.38	营业外收入	1,012,634.10
销售费用	137,528,675.27	减:营业外支出	124,274.10
管理费用	76,286,876.34	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	-9,322,102.85	三、利润总额	193,637,837.62
资产减值损失	7,088,180.35	减:所得税	109,874,073.55
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	96,783,030.13	四、净利润	83,763,764.07
其中:对联营企业和合营企业的投资权益	4,786,873.19	归属于母公司所有者的净利润	30,687,210.02
影响营业利润的其他科目		少数股东损益	53,076,554.05

