科目	2015-12-31	科目	2015-12-31
货币资金	4,224,434,594.20	短期借款	4,144,300,000.00
交易性金融资产		交易性金融负债	
应收票据	4,300,000.00	应付票据	
应收账款	482,275,524.69	应付账款	1,313,111,555.87
预付款项	396,583,917.32	预收款项	935,100,634.13
其他应收款	248,262,036.86	应付职工薪酬	93,781,295.83
应收关联公司款		应交税费	474,506,116.55
应收利息		应付利息	674,920.42
应收股利		应付股利	
存货	8,207,031,271.81	其他应付款	1,028,821,556.58
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	764,800,000.00
其他流动资产	12,178,401.66	其他流动负债	
流动资产合计	13,575,065,746.54	流动负债合计	8,755,096,079.38
可供出售金融资产	1,056,952,554.72	长期借款	1,354,478,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	10,026,370.00
长期股权投资	265,214,533.68	专项应付款	3,000,000.00
投资性房地产	1,093,125,436.10	预计负债	
固定资产	174,054,638.06	递延所得税负债	233,093,903.39
在建工程	111,359,595.49	其他非流动负债	
工程物资		非流动负债合计	1,600,598,273.39
固定资产清理		负债合计	10,355,694,352.77
生产性生物资产		实收资本(或股本)	855,561,097.00
油气资产		资本公积	2,623,069,964.51
无形资产	106,390,227.46	盈余公积	482,182,177.08
开发支出		减:库存股	
商誉		未分配利润	1,501,469,414.00
长期待摊费用	7,175,259.11	少数股东权益	36,800,100.47
递延所得税资产	164,486,064.84	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	2,978,758,309.46	所有者权益(或股东权益)合计	6,198,129,703.23
资产总计	16,553,824,056.00	负债和所有者(或股东权益)合计	16,553,824,056.00
科目	2015年度	科目	2015年度
一、营业收入	6,317,777,110.48	二、营业利润	503,255,130.94
减:营业成本	4,982,500,517.86	加:补贴收入	
营业税金及附加	494,787,764.62	营业外收入	19,281,756.72
销售费用	57,773,752.54	减:营业外支出	1,409,629.40
管理费用	153,932,441.28	其中:非流动资产处置净损失	8,195.86
堪探费用		加:影响利润总额的其他科目	
财务费用	119,361,893.90	三、利润总额	521,127,258.26
资产减值损失	7,152,487.18	减:所得税	128,744,069.56
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	986,877.84	四、净利润	392,383,188.70
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	392,732,659.09
影响营业利润的其他科目		少数股东损益	-349,470.39

