科目	2015-12-31	科目	2015-12-31
货币资金	1,637,322,679.48	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	202,572.65	应付账款	121,276,531.15
预付款项	83,764,199.96	预收款项	482,835,765.48
其他应收款	333,534,045.46	应付职工薪酬	27,998,338.19
应收关联公司款		应交税费	105,575,983.25
应收利息		应付利息	13,464,623.62
应收股利		应付股利	98,447,232.97
存货	2,810,047,871.66	其他应付款	180,704,486.89
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	700,800,000.00
其他流动资产	17,475,036.61	其他流动负债	
流动资产合计	4,882,346,405.82	流动负债合计	1,731,102,961.55
可供出售金融资产	13,193,120.00	长期借款	1,400,000,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	99,000,000.00
长期股权投资	249,361,328.93	专项应付款	
投资性房地产	87,369,684.50	预计负债	
固定资产	15,694,006.14	递延所得税负债	2,452,973.04
在建工程		其他非流动负债	
工程物资		非流动负债合计	1,501,452,973.04
固定资产清理		负债合计	3,232,555,934.59
生产性生物资产		实收资本(或股本)	452,880,000.00
油气资产		资本公积	132,152,332.55
无形资产	1,167,222.16	盈余公积	59,865,949.27
开发支出		减:库存股	
商誉		未分配利润	836,911,279.15
长期待摊费用		少数股东权益	569,880,829.83
递延所得税资产	55,084,099.37	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	421,869,461.10	所有者权益(或股东权益)合计	2,071,659,932.33
资产总计	5,304,215,866.92	负债和所有者(或股东权益)合计	5,304,215,866.92
科目	2015年度	科目	2015年度
一、营业收入	829,720,901.98	二、营业利润	181,053,007.50
减:营业成本	402,288,076.86	加:补贴收入	
营业税金及附加	166,349,336.32	营业外收入	
销售费用	27,279,158.99	减:营业外支出	5,194,804.14
管理费用	51,425,346.55	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	18,213,597.60	三、利润总额	175,858,203.36
资产减值损失	932,579.87	减:所得税	38,475,582.63
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	17,820,201.71	四、净利润	137,382,620.73
其中:对联营企业和合营企业的投资权益	-11,623,997.92	归属于母公司所有者的净利润	78,553,970.48
影响营业利润的其他科目		少数股东损益	58,828,650.25

