科目	2015-12-31	科目	2015-12-31
货币资金	703,051,648.35	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	13,943,970.00	应付账款	458,502,883.87
预付款项	14,754,087.02	预收款项	449,358,242.34
其他应收款	19,690,417.76	应付职工薪酬	114,533.82
应收关联公司款		应交税费	-2,279,175.81
应收利息		应付利息	12,886,643.84
应收股利		应付股利	
存货	6,151,141,865.46	其他应付款	2,297,755,219.58
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	773,450,000.00
其他流动资产		其他流动负债	
流动资产合计	6,902,581,988.59	流动负债合计	3,989,788,347.64
可供出售金融资产	477,992,298.81	长期借款	797,000,000.00
持有至到期投资		应付债券	744,456,164.36
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	13,363,064.68	预计负债	
固定资产	14,900,426.73	递延所得税负债	114,311,968.49
在建工程		其他非流动负债	
工程物资		非流动负债合计	1,655,768,132.85
固定资产清理		负债合计	5,645,556,480.49
生产性生物资产		实收资本(或股本)	740,600,634.00
油气资产		资本公积	195,079,848.93
无形资产	7,533,826.99	盈余公积	138,731,452.92
开发支出		减:库存股	
商誉	227,026,731.00	未分配利润	900,228,970.10
长期待摊费用	679,229.07	少数股东权益	111,341,641.84
递延所得税资产	87,461,462.41	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	828,957,039.69	所有者权益(或股东权益)合计	2,085,982,547.79
资产总计	7,731,539,028.28	负债和所有者(或股东权益)合计	7,731,539,028.28
科目	2015年度	科目	2015年度
一、营业收入	1,064,476,214.29	二、营业利润	-41,613,687.09
减:营业成本	623,950,132.95	加:补贴收入	
营业税金及附加	127,806,374.63	营业外收入	546,037.01
销售费用	37,049,489.54	减:营业外支出	1,440,315.10
管理费用	33,819,148.36	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	287,223,180.86	三、利润总额	-42,507,965.18
资产减值损失	26,272,676.64	减:所得税	35,376,255.11
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	30,031,101.60	四、净利润	-77,884,220.29
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	-74,782,975.97
影响营业利润的其他科目		少数股东损益	-3,101,244.32

