科目	2015-12-31	科目	2015-12-31
货币资金	5,232,368,619.17	短期借款	1,349,093,457.35
交易性金融资产		交易性金融负债	
应收票据	3,500,000.00	应付票据	
应收账款	437,365,299.41	应付账款	2,398,062,036.02
预付款项	677,442,159.75	预收款项	6,973,717,409.85
其他应收款	107,096,527.49	应付职工薪酬	
应收关联公司款		应交税费	702,399,713.89
应收利息	7,859,593.72	应付利息	39,075.72
应收股利		应付股利	709,126.59
存货	16,375,544,289.89	其他应付款	391,400,259.61
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,340,760,000.00
其他流动资产	558,004,322.16	其他流动负债	
流动资产合计	23,399,180,811.59	流动负债合计	13,156,181,079.03
可供出售金融资产	81,428,159.58	长期借款	2,009,450,000.00
持有至到期投资		应付债券	53,286,876.71
长期应收款		长期应付款	1,156,281.75
长期股权投资	455,818,024.68	专项应付款	
投资性房地产	280,269,791.22	预计负债	
固定资产	165,268,856.46	递延所得税负债	
在建工程	1,225,050.00	其他非流动负债	
工程物资		非流动负债合计	2,063,893,158.46
固定资产清理		负债合计	15,220,074,237.49
生产性生物资产		实收资本(或股本)	3,034,636,384.00
油气资产		资本公积	3,357,187,614.30
无形资产	30,271,685.46	盈余公积	
开发支出		减:库存股	
商誉	132,271,869.01	未分配利润	2,709,941,900.60
长期待摊费用	497,327.20	少数股东权益	456,777,467.43
递延所得税资产	234,588,063.85	外币报表折算价差	
其他非流动资产	2,902,428.30	非正常经营项目收益调整	
非流动资产合计	1,384,541,255.76	所有者权益(或股东权益)合计	9,563,647,829.86
资产总计	24,783,722,067.35	负债和所有者(或股东权益)合计	24,783,722,067.35
科目	2015年度	科目	2015年度
一、营业收入	7,375,183,843.93	二、营业利润	1,350,275,277.76
减:营业成本	4,870,957,039.38	加:补贴收入	
营业税金及附加	668,755,365.80	营业外收入	9,700,693.37
销售费用	173,088,119.36	减:营业外支出	19,212,825.50
管理费用	139,167,037.55	其中:非流动资产处置净损失	6,749,466.22
堪探费用		加:影响利润总额的其他科目	
财务费用	107,305,504.54	三、利润总额	1,340,763,145.63
资产减值损失	48,204,805.91	减:所得税	458,408,122.78
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-17,430,693.63	四、净利润	882,355,022.85
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	900,161,982.26
影响营业利润的其他科目		少数股东损益	-17,806,959.41

