科目	2015-12-31	科目	2015-12-31
货币资金	4,385,697,129.53	短期借款	1,411,170,000.00
交易性金融资产	71,981,000.00	交易性金融负债	
应收票据		应付票据	56,406,947.00
应收账款	5,046,804.20	应付账款	3,546,695,950.12
预付款项	2,802,412.31	预收款项	7,801,456,097.07
其他应收款	1,039,311,500.82	应付职工薪酬	40,898,082.92
应收关联公司款		应交税费	559,769,315.70
应收利息		应付利息	104,566,228.67
应收股利		应付股利	1,143,265.24
存货	25,684,182,503.66	其他应付款	2,057,490,357.11
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	35,000,000.00	一年内到期的非流动负债	4,948,287,833.42
其他流动资产	6,823,798.99	其他流动负债	376,082,151.27
流动资产合计	31,239,627,324.52	流动负债合计	20,903,966,228.52
可供出售金融资产	684,567,682.81	长期借款	5,349,491,437.77
持有至到期投资		应付债券	3,976,236,832.33
长期应收款		长期应付款	
长期股权投资	1,424,837,207.70	专项应付款	
投资性房地产	2,502,438,133.66	预计负债	
固定资产	216,407,579.18	递延所得税负债	47,382,852.74
在建工程		其他非流动负债	2,074,501,144.46
工程物资		非流动负债合计	11,448,582,267.30
固定资产清理		负债合计	32,352,548,495.82
生产性生物资产		实收资本(或股本)	1,867,059,398.00
油气资产		资本公积	39,594,980.50
无形资产	73,696,008.36	盈余公积	491,700,295.51
开发支出		减:库存股	
商誉		未分配利润	178,620,401.20
长期待摊费用	1,600,957.82	少数股东权益	1,545,901,136.77
递延所得税资产	274,398,371.97	外币报表折算价差	
其他非流动资产	200,000,000.00	非正常经营项目收益调整	
非流动资产合计	5,377,945,941.50	所有者权益(或股东权益)合计	4,265,024,770.20
资产总计	36,617,573,266.02	负债和所有者(或股东权益)合计	36,617,573,266.02
科目	2015年度	科目	2015年度
一、营业收入	4,654,468,864.88	二、营业利润	-2,551,109,119.74
减:营业成本	3,659,935,466.49	加:补贴收入	
营业税金及附加	346,210,738.88	营业外收入	48,774,843.86
销售费用	183,287,835.16	减:营业外支出	1,634,861.52
管理费用	284,453,780.71	其中:非流动资产处置净损失	118,386.62
堪探费用		加:影响利润总额的其他科目	
财务费用	1,130,268,933.51	三、利润总额	-2,503,969,137.40
资产减值损失	2,192,968,637.00	减:所得税	296,844,959.69
加:公允价值变动净收益	-33,594,452.89	加:影响净利润的其他科目	
投资收益	625,141,860.02	四、净利润	-2,800,814,097.09
其中:对联营企业和合营企业的投资权益	-103,807,689.84	归属于母公司所有者的净利润	-2,487,072,739.29
影响营业利润的其他科目		少数股东损益	-313,741,357.80

