科目	2015-12-31	科目	2015-12-31
货币资金	5,735,783,614.91	短期借款	5,485,943,024.23
交易性金融资产		交易性金融负债	
应收票据	10,530,891.44	应付票据	308,332,084.17
应收账款	504,654,281.49	应付账款	3,429,026,735.86
预付款项	9,178,602,893.31	预收款项	15,425,115,308.39
其他应收款	390,708,456.64	应付职工薪酬	64,125,344.93
应收关联公司款		应交税费	617,142,931.35
应收利息		应付利息	284,369,441.80
应收股利		应付股利	35,276,453.40
存货	58,042,168,258.67	其他应付款	1,354,247,405.03
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	5,998,723,352.44
其他流动资产		其他流动负债	
流动资产合计	73,862,448,396.46	流动负债合计	33,002,302,081.60
可供出售金融资产	2,114,440,000.00	长期借款	25,164,645,000.00
持有至到期投资		应付债券	7,949,975,616.44
长期应收款		长期应付款	12,523,112.75
长期股权投资	11,816,349.00	专项应付款	
投资性房地产	7,261,362,695.00	预计负债	
固定资产	363,824,089.79	递延所得税负债	1,427,070,282.03
在建工程	478,832,108.47	其他非流动负债	
工程物资	724,394.22	非流动负债合计	34,711,035,268.80
固定资产清理		负债合计	67,713,337,350.40
生产性生物资产		实收资本(或股本)	1,244,450,720.00
油气资产		资本公积	4,695,122,930.29
无形资产	68,090,910.04	盈余公积	129,738,293.10
开发支出		减:库存股	
商誉	187,012,083.34	未分配利润	3,208,311,923.74
长期待摊费用	1,124,963.83	少数股东权益	3,622,741,207.39
递延所得税资产	431,951,869.50	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	10,919,179,463.19	所有者权益(或股东权益)合计	17,068,290,509.25
资产总计	84,781,627,859.65	负债和所有者(或股东权益)合计	84,781,627,859.65
科目	2015年度	科目	2015年度
一、营业收入	14,813,258,428.98	二、营业利润	1,740,684,910.40
减:营业成本	10,383,831,432.07	加:补贴收入	
营业税金及附加	1,391,509,373.20	营业外收入	11,470,921.88
销售费用	738,844,872.37	减:营业外支出	74,265,825.25
管理费用	282,133,812.44	其中:非流动资产处置净损失	510,619.49
堪探费用		加:影响利润总额的其他科目	
财务费用	263,785,056.58	三、利润总额	1,677,890,007.03
资产减值损失	24,536,017.74	减:所得税	413,367,611.58
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	12,067,045.82	四、净利润	1,264,522,395.45
其中:对联营企业和合营企业的投资权益	-683,651.00	归属于母公司所有者的净利润	1,325,155,637.50
影响营业利润的其他科目		少数股东损益	-60,633,242.05

