科目	2015-12-31	科目	2015-12-31
货币资金	5,585,730,040.51	短期借款	3,095,917,907.90
交易性金融资产		交易性金融负债	
应收票据	12,822,297.07	应付票据	746,925,486.24
应收账款	375,882,834.63	应付账款	5,325,183,057.19
预付款项	2,035,131,126.57	预收款项	16,129,682,746.30
其他应收款	1,001,249,500.68	应付职工薪酬	105,153,428.69
应收关联公司款		应交税费	1,692,145,131.25
应收利息		应付利息	92,776,559.72
应收股利		应付股利	
存货	39,288,117,315.22	其他应付款	2,224,666,914.02
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	5,000,000.00	一年内到期的非流动负债	4,890,326,575.33
其他流动资产	1,156,181,342.92	其他流动负债	
流动资产合计	49,470,818,841.41	流动负债合计	34,302,777,806.64
可供出售金融资产	201,161,550.53	长期借款	9,242,929,224.22
持有至到期投资		应付债券	
长期应收款	361,010,000.00	长期应付款	
长期股权投资	262,860,890.44	专项应付款	
投资性房地产	3,782,473,615.42	预计负债	4,194,187.00
固定资产	918,141,939.12	递延所得税负债	1,318,957,052.28
在建工程	276,116,385.40	其他非流动负债	1,032,540.00
工程物资		非流动负债合计	10,590,032,797.25
固定资产清理	55,612.79	负债合计	44,892,810,603.89
生产性生物资产		实收资本(或股本)	2,136,106,339.00
油气资产		资本公积	2,006,939,547.38
无形资产	195,617,742.14	盈余公积	280,958,760.64
开发支出	17,513,300.98	减:库存股	
商誉		未分配利润	4,123,280,489.51
长期待摊费用	6,754,730.74	少数股东权益	2,460,427,593.32
递延所得税资产	751,405,280.45	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	6,773,111,048.01	所有者权益(或股东权益)合计	11,351,119,285.53
资产总计	56,243,929,889.42	负债和所有者(或股东权益)合计	56,243,929,889.42
科目	2015年度	科目	2015年度
一、营业收入	17,598,361,217.99	二、营业利润	1,513,379,108.30
减:营业成本	12,380,991,270.44	加:补贴收入	
营业税金及附加	1,429,409,876.02	营业外收入	36,610,395.96
销售费用	750,709,467.53	减:营业外支出	49,426,251.41
管理费用	617,051,807.18	其中:非流动资产处置净损失	717,884.72
堪探费用		加:影响利润总额的其他科目	
财务费用	321,680,143.75	三、利润总额	1,500,563,252.85
资产减值损失	451,938,081.52	减:所得税	546,321,273.40
加:公允价值变动净收益	-124,621,813.88	加:影响净利润的其他科目	
投资收益	-8,579,649.37	四、净利润	954,241,979.45
其中:对联营企业和合营企业的投资权益	-16,709,643.04	归属于母公司所有者的净利润	805,003,276.30
影响营业利润的其他科目		少数股东损益	149,238,703.15

