科目	2015-12-31	科目	2015-12-31
货币资金	314,354,255.30	短期借款	439,220,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	2,227,458.96	应付账款	153,772,498.71
预付款项	141,745,352.36	预收款项	44,132,125.25
其他应收款	258,815,064.40	应付职工薪酬	4,013,779.69
应收关联公司款		应交税费	104,928,256.59
应收利息		应付利息	7,791,636.17
应收股利		应付股利	24,200.00
存货	2,096,010,454.87	其他应付款	413,683,520.38
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	150,000,000.00
其他流动资产	791,341.47	其他流动负债	
流动资产合计	2,975,320,104.01	流动负债合计	1,317,566,016.79
可供出售金融资产		长期借款	
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	121,847,403.48	专项应付款	
投资性房地产	59,434,685.85	预计负债	49,596,000.00
固定资产	100,994,879.28	递延所得税负债	184,683,447.37
在建工程		其他非流动负债	20,000,000.00
工程物资		非流动负债合计	313,879,447.37
固定资产清理		负债合计	1,631,445,464.16
生产性生物资产		实收资本(或股本)	491,785,096.00
油气资产		资本公积	370,537,397.49
无形资产	6,450.00	盈余公积	124,617,973.73
开发支出		减:库存股	
商誉		未分配利润	325,006,735.05
长期待摊费用	3,387,103.16	少数股东权益	346,027,942.04
递延所得税资产	1,244,182.21	外币报表折算价差	
其他非流动资产	27,185,800.48	非正常经营项目收益调整	
非流动资产合计	314,100,504.46	所有者权益(或股东权益)合计	1,657,975,144.31
资产总计	3,289,420,608.47	负债和所有者(或股东权益)合计	3,289,420,608.47
科目	2015年度	科目	2015年度
一、营业收入	491,810,832.38	二、营业利润	70,375,108.53
减:营业成本	239,151,926.15	加:补贴收入	
营业税金及附加	74,212,642.35	营业外收入	4,061,566.43
销售费用	9,797,122.99	减:营业外支出	333,075.61
管理费用	95,707,271.25	其中:非流动资产处置净损失	3,466.34
堪探费用		加:影响利润总额的其他科目	
财务费用	30,844,727.70	三、利润总额	74,103,599.35
资产减值损失	24,086,829.08	减:所得税	36,303,593.21
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	52,364,795.67	四、净利润	37,800,006.14
其中:对联营企业和合营企业的投资权益	-7,152,596.52	归属于母公司所有者的净利润	46,427,997.86
影响营业利润的其他科目		少数股东损益	-8,627,991.72

