科目	2015-12-31	科目	2015-12-31
货币资金	6,117,094,002.64	短期借款	1,197,847,840.00
交易性金融资产	193,928,810.07	交易性金融负债	
应收票据	232,363,112.94	应付票据	397,552,000.00
应收账款	537,043,491.60	应付账款	2,058,407,080.46
预付款项	6,360,802,254.83	预收款项	6,375,319,682.75
其他应收款	290,960,856.76	应付职工薪酬	33,115,590.63
应收关联公司款		应交税费	401,600,320.59
应收利息	67,014,583.33	应付利息	200,913,163.10
应收股利		应付股利	
存货	17,921,281,747.12	其他应付款	461,179,123.36
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	3,658,173,616.37
其他流动资产	632,791,054.88	其他流动负债	
流动资产合计	32,353,279,914.17	流动负债合计	14,784,108,417.26
可供出售金融资产	47,232,400.00	长期借款	5,980,117,233.65
持有至到期投资		应付债券	5,698,782,109.08
长期应收款		长期应付款	1,461,301,781.08
长期股权投资		专项应付款	
投资性房地产	4,877,319,791.10	预计负债	
固定资产	1,793,971,044.65	递延所得税负债	678,767,754.35
在建工程		其他非流动负债	
工程物资		非流动负债合计	13,818,968,878.16
固定资产清理		负债合计	28,603,077,295.42
生产性生物资产		实收资本(或股本)	712,355,650.00
油气资产		资本公积	2,885,875,244.12
无形资产	63,600,403.90	盈余公积	446,205,172.21
开发支出		减:库存股	
商誉	10,460,040.87	未分配利润	4,172,314,297.54
长期待摊费用		少数股东权益	1,777,149,832.45
递延所得税资产	243,075,374.24	外币报表折算价差	
其他非流动资产	6,264,092.24	非正常经营项目收益调整	
非流动资产合计	7,041,923,147.00	所有者权益(或股东权益)合计	10,792,125,765.75
资产总计	39,395,203,061.17	负债和所有者(或股东权益)合计	39,395,203,061.17
科目	2015年度	科目	2015年度
一、营业收入	8,028,869,707.32	二、营业利润	903,590,807.68
减:营业成本	6,032,327,583.80	加:补贴收入	
营业税金及附加	491,743,354.00	营业外收入	8,054,592.79
销售费用	307,570,489.05	减:营业外支出	20,290,151.32
管理费用	280,391,307.92	其中:非流动资产处置净损失	3,198,484.79
堪探费用		加:影响利润总额的其他科目	
财务费用	310,043,998.40	三、利润总额	891,355,249.15
资产减值损失	75,784,801.56	减:所得税	279,737,991.05
加:公允价值变动净收益	326,586,671.32	加:影响净利润的其他科目	
投资收益	45,995,963.77	四、净利润	611,617,258.10
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	468,870,301.25
影响营业利润的其他科目		少数股东损益	142,746,956.85

