科目	2015-12-31	科目	2015-12-31
货币资金	2,084,575,887.14	短期借款	685,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	91,539,876.53
应收账款	14,909,130.28	应付账款	507,216,134.22
预付款项	1,138,004,339.51	预收款项	5,075,371.20
其他应收款	518,467,829.07	应付职工薪酬	2,519,263.93
应收关联公司款		应交税费	46,360,985.03
应收利息		应付利息	18,635,555.56
应收股利		应付股利	
存货	3,822,087,542.52	其他应付款	4,681,096.56
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,000,000,000.00
其他流动资产	300,000,000.00	其他流动负债	1,160,769.45
流动资产合计	7,878,044,728.52	流动负债合计	2,362,189,052.48
可供出售金融资产	402,312,000.00	长期借款	370,979,990.97
持有至到期投资		应付债券	1,589,097,297.64
长期应收款		长期应付款	10,000,000.00
长期股权投资	60,383,137.18	专项应付款	
投资性房地产		预计负债	
固定资产	88,992,509.07	递延所得税负债	
在建工程	24,803,762.88	其他非流动负债	
工程物资		非流动负债合计	1,970,077,288.61
固定资产清理		负债合计	4,332,266,341.09
生产性生物资产		实收资本(或股本)	1,430,234,425.00
油气资产		资本公积	201,554,280.08
无形资产	296,559,923.73	盈余公积	307,882,543.56
开发支出		减:库存股	
商誉		未分配利润	2,470,962,390.63
长期待摊费用	1,980,133.03	少数股东权益	20,839,195.79
递延所得税资产	667,097.29	外币报表折算价差	
其他非流动资产	10,000,000.00	非正常经营项目收益调整	
非流动资产合计	885,698,563.18	所有者权益(或股东权益)合计	4,431,476,950.61
资产总计	8,763,743,291.70	负债和所有者(或股东权益)合计	8,763,743,291.70
科目	2015年度	科目	2015年度
一、营业收入	1,231,346,297.55	二、营业利润	359,145,666.43
减:营业成本	964,319,646.90	加:补贴收入	
营业税金及附加	150,812,284.97	营业外收入	3,247,945.63
销售费用	33,995,136.23	减:营业外支出	15,218,655.85
管理费用	100,601,233.11	其中:非流动资产处置净损失	65,049.70
堪探费用		加:影响利润总额的其他科目	
财务费用	46,100,125.44	三、利润总额	347,174,956.21
资产减值损失	16,900,393.05	减:所得税	126,082,708.47
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	440,528,188.58	四、净利润	221,092,247.74
其中:对联营企业和合营企业的投资权益	2,150,002.98	归属于母公司所有者的净利润	221,871,902.21
影响营业利润的其他科目		少数股东损益	-779,654.47

