科目	2015-12-31	科目	2015-12-31
货币资金	1,942,442,058.32	短期借款	4,539,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	35,192,983.89	应付账款	1,954,621,336.68
预付款项	1,886,563.32	预收款项	4,670,193,649.96
其他应收款	157,072,996.52	应付职工薪酬	53,239,054.20
应收关联公司款		应交税费	966,415,065.62
应收利息	8,014,469.00	应付利息	144,965,784.70
应收股利	26,909,675.46	应付股利	15,000,000.00
存货	10,047,688,506.89	其他应付款	10,976,483,282.64
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	3,203,000,000.00
其他流动资产		其他流动负债	514,485.20
流动资产合计	12,219,207,253.40	流动负债合计	26,523,432,659.00
可供出售金融资产	8,284,187,642.60	长期借款	4,449,290,548.50
持有至到期投资		应付债券	5,000,000,000.00
长期应收款	20,785,807.43	长期应付款	137,361,514.20
长期股权投资	5,160,290,166.71	专项应付款	6,400.00
投资性房地产	24,250,982,043.19	预计负债	
固定资产	454,680,737.14	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	9,685,657,395.71
固定资产清理		负债合计	36,209,090,054.71
生产性生物资产		实收资本(或股本)	1,867,684,000.00
油气资产		资本公积	38,898,158.63
无形资产	1,352,504.64	盈余公积	2,744,759,374.45
开发支出		减:库存股	
商誉		未分配利润	7,964,790,726.32
长期待摊费用	151,653,720.89	少数股东权益	3,242,550,327.05
递延所得税资产	1,250,762,882.62	外币报表折算价差	
其他非流动资产	655,000,000.00	非正常经营项目收益调整	
非流动资产合计	40,229,695,505.22	所有者权益(或股东权益)合计	16,239,812,703.91
资产总计	52,448,902,758.62	负债和所有者(或股东权益)合计	52,448,902,758.62
科目	2015年度	科目	2015年度
一、营业收入	5,631,357,902.68	二、营业利润	2,681,079,914.22
减:营业成本	2,558,324,187.25	加:补贴收入	
营业税金及附加	531,602,650.88	营业外收入	94,055,727.89
销售费用	151,709,466.20	减:营业外支出	104,188.56
管理费用	216,386,567.59	其中:非流动资产处置净损失	750.00
堪探费用		加:影响利润总额的其他科目	
财务费用	592,055,262.32	三、利润总额	2,775,031,453.55
资产减值损失	-1,684,840.06	减:所得税	653,126,549.52
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	1,098,115,305.72	四、净利润	2,121,904,904.03
其中:对联营企业和合营企业的投资权益	164,323,788.58	归属于母公司所有者的净利润	1,900,023,511.04
影响营业利润的其他科目		少数股东损益	221,881,392.99

