科目	2015-12-31	科目	2015-12-31
货币资金	281,670,357.82	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	50,428,794.37	应付账款	378,631,764.99
预付款项	5,148,120.00	预收款项	1,638,608,840.16
其他应收款	112,364,641.53	应付职工薪酬	14,671,837.43
应收关联公司款		应交税费	160,845,907.48
应收利息		应付利息	32,814,659.81
应收股利		应付股利	14,514,593.65
存货	4,972,127,230.60	其他应付款	88,473,807.72
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	51,000,000.00
其他流动资产	1,808,160,621.49	其他流动负债	
流动资产合计	7,229,899,765.81	流动负债合计	2,379,561,411.24
可供出售金融资产	33,171,351.77	长期借款	733,000,000.00
持有至到期投资		应付债券	1,189,934,781.27
长期应收款		长期应付款	
长期股权投资	41,375,874.97	专项应付款	
投资性房地产	543,290,025.29	预计负债	
固定资产	5,577,578.77	递延所得税负债	8,895,714.72
在建工程		其他非流动负债	
工程物资		非流动负债合计	1,931,830,495.99
固定资产清理		负债合计	4,311,391,907.23
生产性生物资产		实收资本(或股本)	3,183,922,485.00
油气资产		资本公积	-1,691,403,872.41
无形资产	901,834.12	盈余公积	83,149,321.12
开发支出		减:库存股	
商誉	7,856,648.51	未分配利润	2,047,556,323.56
长期待摊费用		少数股东权益	
递延所得税资产	72,543,085.26	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	704,716,398.69	所有者权益(或股东权益)合计	3,623,224,257.27
资产总计	7,934,616,164.50	负债和所有者(或股东权益)合计	7,934,616,164.50
科目	2015年度	科目	2015年度
一、营业收入	1,124,460,990.57	二、营业利润	116,577,302.74
减:营业成本	798,069,934.45	加:补贴收入	
营业税金及附加	67,312,190.24	营业外收入	3,902,961.15
销售费用	24,786,331.60	减:营业外支出	2,280,634.20
管理费用	68,948,471.43	其中:非流动资产处置净损失	16,515.78
堪探费用		加:影响利润总额的其他科目	
财务费用	57,495,484.67	三、利润总额	118,199,629.69
资产减值损失	43,672,096.40	减:所得税	14,934,456.43
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	52,400,820.96	四、净利润	103,265,173.26
其中:对联营企业和合营企业的投资权益	37,377,511.37	归属于母公司所有者的净利润	103,265,173.26
影响营业利润的其他科目		少数股东损益

