科目	2015-12-31	科目	2015-12-31
货币资金	880,908,609.72	短期借款	653,000,000.00
交易性金融资产		交易性金融负债	
应收票据	2,917,121.00	应付票据	67,200,000.00
应收账款	67,884,892.75	应付账款	453,799,813.95
预付款项	3,427,487.89	预收款项	869,700,149.16
其他应收款	62,987,906.80	应付职工薪酬	24,887,507.59
应收关联公司款		应交税费	171,399,800.44
应收利息		应付利息	18,373,454.52
应收股利		应付股利	3,728,513.31
存货	3,119,635,053.30	其他应付款	372,031,903.60
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	526,685,453.53
其他流动资产	74,037,651.93	其他流动负债	
流动资产合计	4,211,798,723.39	流动负债合计	3,160,806,596.10
可供出售金融资产	407,000,000.00	长期借款	410,000,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	4,891,563.59	专项应付款	
投资性房地产	116,761,089.95	预计负债	
固定资产	89,259,722.73	递延所得税负债	
在建工程	3,214,675.81	其他非流动负债	28,131,829.64
工程物资		非流动负债合计	438,131,829.64
固定资产清理		负债合计	3,598,938,425.74
生产性生物资产		实收资本(或股本)	856,634,731.00
油气资产		资本公积	937,605,320.53
无形资产	178,715,242.28	盈余公积	
开发支出		减:库存股	
商誉		未分配利润	-51,653,592.36
长期待摊费用	15,585,822.03	少数股东权益	771,726.48
递延所得税资产	56,069,854.40	外币报表折算价差	
其他非流动资产	153,499,579.66	非正常经营项目收益调整	
非流动资产合计	1,024,997,550.45	所有者权益(或股东权益)合计	1,637,857,848.10
资产总计	5,236,796,273.84	负债和所有者(或股东权益)合计	5,236,796,273.84
科目	2015年度	科目	2015年度
一、营业收入	1,213,144,190.44	二、营业利润	143,781,271.18
减:营业成本	796,170,135.20	加:补贴收入	
营业税金及附加	72,757,356.75	营业外收入	276,211.39
销售费用	24,109,355.95	减:营业外支出	7,167,399.46
管理费用	75,441,424.03	其中:非流动资产处置净损失	200,291.61
堪探费用		加:影响利润总额的其他科目	
财务费用	93,802,181.08	三、利润总额	136,890,083.11
资产减值损失	7,074,029.84	减:所得税	22,330,001.71
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-8,436.41	四、净利润	114,560,081.40
其中:对联营企业和合营企业的投资权益	-8,436.41	归属于母公司所有者的净利润	112,137,070.84
影响营业利润的其他科目		少数股东损益	2,423,010.56

