科目	2015-12-31	科目	2015-12-31
货币资金	649,437,481.17	短期借款	
交易性金融资产		交易性金融负债	
应收票据	4,000,000.00	应付票据	11,778,593.25
应收账款	24,626,704.31	应付账款	986,704,540.63
预付款项	263,987,364.06	预收款项	83,760,924.24
其他应收款	20,835,911.48	应付职工薪酬	11,809,621.96
应收关联公司款		应交税费	89,222,256.91
应收利息		应付利息	44,410,330.97
应收股利		应付股利	598,462.00
存货	4,041,552,500.38	其他应付款	711,582,280.48
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	691,120,000.00
其他流动资产	35,295,205.14	其他流动负债	
流动资产合计	5,039,735,166.54	流动负债合计	2,630,987,010.44
可供出售金融资产	117,875,646.00	长期借款	388,000,000.00
持有至到期投资		应付债券	989,532,163.29
长期应收款		长期应付款	
长期股权投资	978,723.51	专项应付款	
投资性房地产	214,584,777.40	预计负债	1,650,000.00
固定资产	1,549,943,508.21	递延所得税负债	17,468,911.50
在建工程	1,750,000.00	其他非流动负债	2,052,832.56
工程物资		非流动负债合计	1,398,703,907.35
固定资产清理		负债合计	4,029,690,917.79
生产性生物资产		实收资本(或股本)	843,770,965.00
油气资产		资本公积	1,186,175,139.58
无形资产	395,473,501.52	盈余公积	105,352,116.55
开发支出		减:库存股	
商誉		未分配利润	613,880,303.70
长期待摊费用		少数股东权益	526,887,973.25
递延所得税资产	37,787,827.19	外币报表折算价差	
其他非流动资产	35,000.00	非正常经营项目收益调整	
非流动资产合计	2,318,428,983.83	所有者权益(或股东权益)合计	3,328,473,232.58
资产总计	7,358,164,150.37	负债和所有者(或股东权益)合计	7,358,164,150.37
科目	2015年度	科目	2015年度
一、营业收入	1,155,040,014.68	二、营业利润	-68,610,996.92
减:营业成本	886,997,355.37	加:补贴收入	
营业税金及附加	80,229,498.40	营业外收入	5,080,862.46
销售费用	29,026,161.92	减:营业外支出	6,504,317.06
管理费用	72,456,484.88	其中:非流动资产处置净损失	42,999.52
堪探费用		加:影响利润总额的其他科目	
财务费用	124,867,833.71	三、利润总额	-70,034,451.52
资产减值损失	33,817,542.84	减:所得税	30,618,166.72
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	3,743,865.52	四、净利润	-100,652,618.24
其中:对联营企业和合营企业的投资权益	-2,256,134.48	归属于母公司所有者的净利润	7,370,833.19
影响营业利润的其他科目		少数股东损益	-108,023,451.43

