科目	2015-12-31	科目	2015-12-31
货币资金	631,945,728.85	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	250,795,902.17	应付账款	276,222,161.27
预付款项	1,537,457.63	预收款项	299,998,166.49
其他应收款	29,227,046.58	应付职工薪酬	133,478.36
应收关联公司款		应交税费	82,197,268.35
应收利息		应付利息	
应收股利		应付股利	
存货	1,604,757,227.04	其他应付款	109,263,622.51
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	
其他流动资产	29,381,850.53	其他流动负债	
流动资产合计	2,547,645,212.80	流动负债合计	767,814,696.98
可供出售金融资产		长期借款	
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	265,763,233.87	预计负债	
固定资产	50,461,680.57	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	
固定资产清理		负债合计	767,814,696.98
生产性生物资产		实收资本(或股本)	830,003,232.00
油气资产		资本公积	346,188,384.00
无形资产		盈余公积	26,942,283.22
开发支出		减:库存股	
商誉		未分配利润	945,331,303.41
长期待摊费用		少数股东权益	4,649,610.76
递延所得税资产	57,059,383.13	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	373,284,297.57	所有者权益(或股东权益)合计	2,153,114,813.39
资产总计	2,920,929,510.37	负债和所有者(或股东权益)合计	2,920,929,510.37
科目	2015年度	科目	2015年度
一、营业收入	668,919,808.94	二、营业利润	81,465,809.63
减:营业成本	443,566,007.16	加:补贴收入	
营业税金及附加	91,426,788.53	营业外收入	1,725,795.53
销售费用	7,032,805.99	减:营业外支出	1,832,250.02
管理费用	58,377,594.30	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	-3,064,721.08	三、利润总额	81,359,355.14
资产减值损失	4,970,312.07	减:所得税	21,586,293.10
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	14,854,787.66	四、净利润	59,773,062.04
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	59,633,523.82
影响营业利润的其他科目		少数股东损益	139,538.22

