科目	2015-12-31	科目	2015-12-31
货币资金	53,180,381,016.34	短期借款	1,900,087,965.52
交易性金融资产		交易性金融负债	
应收票据		应付票据	16,744,732,907.08
应收账款	2,510,653,269.96	应付账款	91,446,458,420.61
预付款项	39,646,972,826.29	预收款项	212,625,705,637.30
其他应收款	75,485,642,961.23	应付职工薪酬	2,642,657,169.63
应收关联公司款		应交税费	7,373,980,494.99
应收利息		应付利息	231,575,884.69
应收股利		应付股利	
存货	368,121,930,513.33	其他应付款	62,350,224,343.79
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	24,746,404,056.97
其他流动资产	7,956,600,000.00	其他流动负债	
流动资产合计	547,024,375,866.34	流动负债合计	420,061,826,880.58
可供出售金融资产	1,138,812,728.09	长期借款	33,828,584,225.36
持有至到期投资		应付债券	19,015,812,338.88
长期应收款		长期应付款	
长期股权投资	33,503,423,488.02	专项应付款	
投资性房地产	10,765,051,108.38	预计负债	143,220,557.94
固定资产	4,917,479,160.88	递延所得税负债	558,430,814.88
在建工程	598,358,905.88	其他非流动负债	1,378,075,550.63
工程物资		非流动负债合计	54,924,123,487.69
固定资产清理		负债合计	474,985,950,368.27
生产性生物资产		实收资本(或股本)	11,051,612,300.00
油气资产		资本公积	8,174,812,609.65
无形资产	1,044,991,088.26	盈余公积	28,068,766,725.61
开发支出		减:库存股	160,163,103.04
商誉	201,689,835.80	未分配利润	52,597,854,095.89
长期待摊费用	447,883,429.64	少数股东权益	36,126,099,498.69
递延所得税资产	5,166,540,813.69	外币报表折算价差	
其他非流动资产	6,486,961,264.31	非正常经营项目收益调整	
非流动资产合计	64,271,191,822.95	所有者权益(或股东权益)合计	136,309,617,321.02
资产总计	611,295,567,689.29	负债和所有者(或股东权益)合计	611,295,567,689.29
科目	2015年度	科目	2015年度
一、营业收入	195,549,130,020.90	二、营业利润	33,122,777,302.51
减:营业成本	138,150,628,676.24	加:补贴收入	
营业税金及附加	17,980,426,847.11	营业外收入	855,431,507.24
销售费用	4,138,273,594.93	减:营业外支出	175,591,190.65
管理费用	4,745,249,792.81	其中:非流动资产处置净损失	1,840,489.59
堪探费用		加:影响利润总额的其他科目	
财务费用	477,735,809.60	三、利润总额	33,802,617,619.10
资产减值损失	495,946,081.38	减:所得税	7,853,179,592.79
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	3,561,908,083.68	四、净利润	25,949,438,026.31
其中:对联营企业和合营企业的投资权益	2,393,092,504.58	归属于母公司所有者的净利润	18,119,406,249.27
影响营业利润的其他科目		少数股东损益	7,830,031,777.04

