科目	2015-12-31	科目	2015-12-31
货币资金	356,153,357.17	短期借款	100,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	10,223,610.70
应收账款	22,375,366.04	应付账款	372,388,002.70
预付款项	15,689,056.88	预收款项	4,447,971,848.20
其他应收款	90,881,488.47	应付职工薪酬	354,067.03
应收关联公司款		应交税费	-198,541,964.26
应收利息		应付利息	9,910,797.21
应收股利		应付股利	3,117,840.84
存货	11,845,906,085.79	其他应付款	1,139,357,659.46
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	593,880,000.00
其他流动资产		其他流动负债	
流动资产合计	12,331,005,354.35	流动负债合计	6,478,661,861.88
可供出售金融资产		长期借款	3,885,095,129.08
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	369,507,558.10	专项应付款	
投资性房地产	407,938,343.28	预计负债	13,373,236.26
固定资产	53,449,052.78	递延所得税负债	85,021,972.58
在建工程	51,005.00	其他非流动负债	660,000.00
工程物资		非流动负债合计	3,984,150,337.92
固定资产清理		负债合计	10,462,812,199.80
生产性生物资产		实收资本(或股本)	453,516,496.00
油气资产		资本公积	882,572,147.89
无形资产	52,134.04	盈余公积	123,059,121.71
开发支出		减:库存股	123,682,611.11
商誉	89,749,996.02	未分配利润	1,638,363,677.30
长期待摊费用	12,523,129.30	少数股东权益	39,890,790.34
递延所得税资产	212,303,931.27	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,145,575,149.79	所有者权益(或股东权益)合计	3,013,768,304.34
资产总计	13,476,580,504.14	负债和所有者(或股东权益)合计	13,476,580,504.14
科目	2015年度	科目	2015年度
一、营业收入	519,502,880.88	二、营业利润	90,317,406.29
减:营业成本	313,954,249.98	加:补贴收入	
营业税金及附加	42,561,979.93	营业外收入	20,770,440.86
销售费用	86,926,637.47	减:营业外支出	8,089,042.75
管理费用	193,213,484.40	其中:非流动资产处置净损失	100,610.21
堪探费用		加:影响利润总额的其他科目	
财务费用	214,889,991.12	三、利润总额	102,998,804.40
资产减值损失	914,621.49	减:所得税	23,411,035.97
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	423,275,489.80	四、净利润	79,587,768.43
其中:对联营企业和合营企业的投资权益	-2,683,014.21	归属于母公司所有者的净利润	104,636,629.85
影响营业利润的其他科目		少数股东损益	-25,048,861.42

