科目	2015-12-31	科目	2015-12-31
货币资金	1,282,182,055.44	短期借款	85,000,000.00
交易性金融资产	4,540,248.12	交易性金融负债	
应收票据	6,392,956.27	应付票据	255,605,897.00
应收账款	51,157,476.43	应付账款	454,210,637.14
预付款项	160,003,097.12	预收款项	2,081,449,128.74
其他应收款	295,685,437.73	应付职工薪酬	8,358,932.25
应收关联公司款		应交税费	175,427,905.74
应收利息	22,576,386.61	应付利息	7,422,808.22
应收股利	900,000.00	应付股利	
存货	3,738,526,506.35	其他应付款	267,524,907.33
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,272,500,000.00
其他流动资产	591,862,891.02	其他流动负债	5,132,230.15
流动资产合计	6,153,827,055.09	流动负债合计	4,612,632,446.57
可供出售金融资产	117,438,800.00	长期借款	447,000,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	115,689,394.13	预计负债	
固定资产	491,758,591.70	递延所得税负债	42,915,634.63
在建工程	128,649,066.47	其他非流动负债	278,600,000.00
工程物资	3,768,054.52	非流动负债合计	776,103,634.63
固定资产清理		负债合计	5,388,736,081.20
生产性生物资产		实收资本(或股本)	390,125,275.00
油气资产		资本公积	238,031,947.68
无形资产	158,726,795.00	盈余公积	137,906,601.59
开发支出		减:库存股	
商誉	694,959.11	未分配利润	811,148,879.78
长期待摊费用		少数股东权益	300,608,271.74
递延所得税资产	73,882,846.20	外币报表折算价差	
其他非流动资产	98,505,000.00	非正常经营项目收益调整	
非流动资产合计	1,189,113,507.13	所有者权益(或股东权益)合计	1,954,204,481.02
资产总计	7,342,940,562.22	负债和所有者(或股东权益)合计	7,342,940,562.22
科目	2015年度	科目	2015年度
一、营业收入	2,413,281,318.67	二、营业利润	354,778,480.22
减:营业成本	1,788,018,558.51	加:补贴收入	
营业税金及附加	169,856,726.29	营业外收入	7,058,846.28
销售费用	51,227,599.21	减:营业外支出	4,079,839.89
管理费用	144,572,486.96	其中:非流动资产处置净损失	1,024,964.59
堪探费用		加:影响利润总额的其他科目	
财务费用	30,325,983.17	三、利润总额	357,757,486.61
资产减值损失	20,947,070.69	减:所得税	94,268,890.19
加:公允价值变动净收益	-2,257,160.12	加:影响净利润的其他科目	
投资收益	148,702,746.50	四、净利润	263,488,596.42
其中:对联营企业和合营企业的投资权益	-1,979,716.33	归属于母公司所有者的净利润	237,683,901.90
影响营业利润的其他科目		少数股东损益	25,804,694.52

