科目	2015-12-31	科目	2015-12-31
货币资金	398,223,529.52	短期借款	1,704,900,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	119,964,954.98	应付账款	249,474,860.34
预付款项	691,962,662.36	预收款项	94,587,140.95
其他应收款	558,603,712.74	应付职工薪酬	7,626,556.62
应收关联公司款		应交税费	148,325,293.36
应收利息	2,590,152.78	应付利息	6,146,167.06
应收股利		应付股利	200,000.00
存货	4,891,043,508.26	其他应付款	1,894,123,754.65
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	66,500,000.00
其他流动资产		其他流动负债	7,297,134.87
流动资产合计	6,662,388,520.64	流动负债合计	4,179,180,907.85
可供出售金融资产	11,630,155.43	长期借款	1,724,770,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	120,088,970.17	预计负债	
固定资产	146,151,464.29	递延所得税负债	
在建工程	71,892,600.85	其他非流动负债	
工程物资		非流动负债合计	1,724,770,000.00
固定资产清理		负债合计	5,903,950,907.85
生产性生物资产		实收资本(或股本)	300,000,000.00
油气资产		资本公积	411,625,210.96
无形资产	177,024,335.80	盈余公积	98,287,522.47
开发支出		减:库存股	
商誉	19,693,379.82	未分配利润	408,780,705.68
长期待摊费用	16,086,357.49	少数股东权益	209,859,091.85
递延所得税资产	107,547,654.32	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	670,114,918.17	所有者权益(或股东权益)合计	1,428,552,530.96
资产总计	7,332,503,438.81	负债和所有者(或股东权益)合计	7,332,503,438.81
科目	2015年度	科目	2015年度
一、营业收入	831,053,758.10	二、营业利润	47,130,310.47
减:营业成本	484,900,741.15	加:补贴收入	
营业税金及附加	71,339,503.37	营业外收入	34,292,475.70
销售费用	9,857,154.33	减:营业外支出	2,389,444.15
管理费用	82,403,480.05	其中:非流动资产处置净损失	148,710.30
堪探费用		加:影响利润总额的其他科目	
财务费用	119,134,847.06	三、利润总额	79,033,342.02
资产减值损失	16,287,721.67	减:所得税	18,687,645.78
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益		四、净利润	60,345,696.24
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	64,509,465.97
影响营业利润的其他科目		少数股东损益	-4,163,769.73

