科目	2015-12-31	科目	2015-12-31
货币资金	13,794,976,813.92	短期借款	16,917,818,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	381,640,844.44
应收账款	572,154,029.98	应付账款	5,399,349,550.34
预付款项	8,592,989,926.78	预收款项	9,754,593,062.62
其他应收款	1,733,944,504.94	应付职工薪酬	67,588,345.95
应收关联公司款		应交税费	1,693,157,859.29
应收利息		应付利息	427,511,012.95
应收股利		应付股利	13,098,315.29
存货	42,382,689,036.56	其他应付款	1,311,339,086.30
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	4,245,350,000.00
其他流动资产	899,190,348.99	其他流动负债	
流动资产合计	67,975,944,661.17	流动负债合计	40,211,446,077.18
可供出售金融资产		长期借款	9,399,599,000.00
持有至到期投资		应付债券	6,680,789,971.13
长期应收款		长期应付款	
长期股权投资	143,285,452.86	专项应付款	
投资性房地产	1,245,791,611.00	预计负债	
固定资产	211,135,624.21	递延所得税负债	139,359,497.92
在建工程		其他非流动负债	
工程物资		非流动负债合计	16,219,748,469.05
固定资产清理		负债合计	56,431,194,546.23
生产性生物资产		实收资本(或股本)	4,014,777,315.00
油气资产		资本公积	3,599,745,664.40
无形资产	10,409,487.34	盈余公积	85,834,853.06
开发支出		减:库存股	
商誉	3,642,290.38	未分配利润	3,875,569,543.48
长期待摊费用	896,506.13	少数股东权益	1,727,622,652.31
递延所得税资产	10,156,261.25	外币报表折算价差	
其他非流动资产	572,034,687.00	非正常经营项目收益调整	
非流动资产合计	2,197,351,920.17	所有者权益(或股东权益)合计	13,742,102,035.11
资产总计	70,173,296,581.34	负债和所有者(或股东权益)合计	70,173,296,581.34
科目	2015年度	科目	2015年度
一、营业收入	22,379,969,159.30	二、营业利润	2,348,963,362.92
减:营业成本	16,659,630,528.07	加:补贴收入	
营业税金及附加	2,107,550,352.99	营业外收入	15,981,847.15
销售费用	456,805,956.17	减:营业外支出	4,532,863.74
管理费用	554,468,046.88	其中:非流动资产处置净损失	320,105.23
堪探费用		加:影响利润总额的其他科目	
财务费用	23,232,698.66	三、利润总额	2,360,412,346.33
资产减值损失	238,881,048.96	减:所得税	627,694,452.15
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	9,562,835.35	四、净利润	1,732,717,894.18
其中:对联营企业和合营企业的投资权益	9,562,835.35	归属于母公司所有者的净利润	1,418,204,903.07
影响营业利润的其他科目		少数股东损益	314,512,991.11

