科目	2015-12-31	科目	2015-12-31
货币资金	1,158,687,486.18	短期借款	740,000,000.00
交易性金融资产		交易性金融负债	
应收票据	10,398,475.96	应付票据	
应收账款	145,689,118.17	应付账款	277,902,458.69
预付款项	7,700,688.08	预收款项	73,531,205.80
其他应收款	4,215,287.05	应付职工薪酬	528,354.54
应收关联公司款		应交税费	20,604,164.57
应收利息		应付利息	5,053,151.99
应收股利		应付股利	
存货	1,447,849,171.92	其他应付款	62,180,901.42
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	149,700,000.00
其他流动资产		其他流动负债	570,000,000.00
流动资产合计	2,774,540,227.36	流动负债合计	1,899,500,237.01
可供出售金融资产		长期借款	318,622,160.00
持有至到期投资		应付债券	
长期应收款	99,630,000.00	长期应付款	
长期股权投资	4,867,587.64	专项应付款	
投资性房地产	695,440,587.99	预计负债	
固定资产	46,688,566.95	递延所得税负债	607,513.68
在建工程	1,701,070.00	其他非流动负债	
工程物资		非流动负债合计	341,222,687.75
固定资产清理		负债合计	2,240,722,924.76
生产性生物资产		实收资本(或股本)	300,000,000.00
油气资产		资本公积	637,878,888.50
无形资产	24,024,746.82	盈余公积	64,401,259.24
开发支出		减:库存股	
商誉		未分配利润	381,781,090.30
长期待摊费用	7,407,956.81	少数股东权益	62,553,701.94
递延所得税资产	33,037,121.17	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	912,797,637.38	所有者权益(或股东权益)合计	1,446,614,939.98
资产总计	3,687,337,864.74	负债和所有者(或股东权益)合计	3,687,337,864.74
科目	2015年度	科目	2015年度
一、营业收入	637,732,301.02	二、营业利润	37,191,446.63
减:营业成本	464,217,491.16	加:补贴收入	
营业税金及附加	26,439,187.28	营业外收入	3,402,433.52
销售费用	9,221,715.55	减:营业外支出	6,901.72
管理费用	62,293,504.95	其中:非流动资产处置净损失	6,279.93
堪探费用		加:影响利润总额的其他科目	
财务费用	45,204,448.37	三、利润总额	40,586,978.43
资产减值损失	-6,784,850.05	减:所得税	10,328,303.72
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	50,642.87	四、净利润	30,258,674.71
其中:对联营企业和合营企业的投资权益	27,957.94	归属于母公司所有者的净利润	22,725,789.51
影响营业利润的其他科目		少数股东损益	7,532,885.20
