科目	2015-12-31	科目	2015-12-31
货币资金	1,519,113,186.00	短期借款	1,343,685,352.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	56,916,389.00	应付账款	1,368,031,788.00
预付款项	666,020,519.00	预收款项	689,759,230.00
其他应收款	190,285,997.00	应付职工薪酬	57,370,793.00
应收关联公司款		应交税费	409,111,231.00
应收利息		应付利息	50,274,171.00
应收股利		应付股利	
存货	9,922,930,379.00	其他应付款	368,505,361.00
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,140,000,000.00
其他流动资产		其他流动负债	415,800,000.00
流动资产合计	12,355,266,470.00	流动负债合计	5,842,537,926.00
可供出售金融资产		长期借款	3,065,000,000.00
持有至到期投资		应付债券	1,506,441,580.00
长期应收款	32,000,000.00	长期应付款	
长期股权投资	453,921,528.00	专项应付款	
投资性房地产	676,176,631.00	预计负债	
固定资产	27,446,979.00	递延所得税负债	59,573,579.00
在建工程		其他非流动负债	
工程物资		非流动负债合计	4,631,015,159.00
固定资产清理		负债合计	10,473,553,085.00
生产性生物资产		实收资本(或股本)	1,216,800,000.00
油气资产		资本公积	825,526,480.00
无形资产	181,211.00	盈余公积	170,066,691.00
开发支出		减:库存股	
商誉		未分配利润	709,580,833.00
长期待摊费用	7,145,254.00	少数股东权益	272,241,598.00
递延所得税资产	115,759,888.00	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,312,631,491.00	所有者权益(或股东权益)合计	3,194,344,876.00
资产总计	13,667,897,961.00	负债和所有者(或股东权益)合计	13,667,897,961.00
科目	2015年度	科目	2015年度
一、营业收入	2,618,861,253.00	二、营业利润	-516,785,728.00
减:营业成本	1,829,113,837.00	加:补贴收入	
营业税金及附加	273,918,581.00	营业外收入	8,857,469.00
销售费用	85,647,483.00	减:营业外支出	7,568,887.00
管理费用	147,741,471.00	其中:非流动资产处置净损失	35,915.00
堪探费用		加:影响利润总额的其他科目	
财务费用	187,215,553.00	三、利润总额	-515,497,146.00
资产减值损失	610,423,740.00	减:所得税	73,516,267.00
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-1,586,316.00	四、净利润	-589,013,413.00
其中:对联营企业和合营企业的投资权益	-6,801,831.00	归属于母公司所有者的净利润	-612,220,333.00
影响营业利润的其他科目		少数股东损益	23,206,920.00

