科目	2015-12-31	科目	2015-12-31
货币资金	1,175,756,306.36	短期借款	143,418,286.29
交易性金融资产		交易性金融负债	
应收票据	18,663,872.02	应付票据	
应收账款	112,543,908.66	应付账款	290,453,110.50
预付款项	22,952,379.40	预收款项	475,620,347.35
其他应收款	61,673,343.42	应付职工薪酬	38,750,019.72
应收关联公司款		应交税费	63,459,415.42
应收利息		应付利息	17,535,277.94
应收股利	1,052,192.76	应付股利	
存货	2,146,223,895.61	其他应付款	385,811,304.33
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	168,727,608.54
其他流动资产	40,315,831.06	其他流动负债	
流动资产合计	3,579,181,729.29	流动负债合计	1,583,775,370.09
可供出售金融资产	17,464,240.74	长期借款	382,233,324.88
持有至到期投资		应付债券	
长期应收款		长期应付款	10,480,629.35
长期股权投资	57,768,804.36	专项应付款	
投资性房地产	435,058,564.20	预计负债	
固定资产	52,213,985.31	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	392,713,954.23
固定资产清理		负债合计	1,976,489,324.32
生产性生物资产		实收资本(或股本)	1,011,660,000.00
油气资产		资本公积	978,244,910.11
无形资产	5,654,820.00	盈余公积	40,823,841.35
开发支出		减:库存股	
商誉		未分配利润	290,911,773.00
长期待摊费用	397,608.64	少数股东权益	-128,256,319.64
递延所得税资产	32,197,368.21	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	600,755,391.46	所有者权益(或股东权益)合计	2,203,447,796.43
资产总计	4,179,937,120.75	负债和所有者(或股东权益)合计	4,179,937,120.75
科目	2015年度	科目	2015年度
一、营业收入	2,163,365,575.33	二、营业利润	409,683,201.71
减:营业成本	1,389,627,289.48	加:补贴收入	
营业税金及附加	217,613,031.65	营业外收入	974,019.63
销售费用	46,977,100.96	减:营业外支出	752,280.95
管理费用	58,883,597.38	其中:非流动资产处置净损失	23,390.74
堪探费用		加:影响利润总额的其他科目	
财务费用	32,367,511.56	三、利润总额	409,904,940.39
资产减值损失	8,602,560.16	减:所得税	108,835,873.61
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	388,717.57	四、净利润	301,069,066.78
其中:对联营企业和合营企业的投资权益	38,717.57	归属于母公司所有者的净利润	301,129,840.84
影响营业利润的其他科目		少数股东损益	-60,774.06

