科目	2015-12-31	科目	2015-12-31
货币资金	1,906,418,493.03	短期借款	500,000,000.00
交易性金融资产	1,734,390.48	交易性金融负债	
应收票据		应付票据	
应收账款	110,847,780.10	应付账款	1,596,503,242.74
预付款项	163,166,212.60	预收款项	2,871,977,349.69
其他应收款	496,758,126.14	应付职工薪酬	469,802.67
应收关联公司款		应交税费	318,060,497.96
应收利息		应付利息	85,435,867.86
应收股利		应付股利	
存货	17,722,112,653.47	其他应付款	3,439,402,114.94
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,425,725,797.05
其他流动资产	330,688,519.26	其他流动负债	
流动资产合计	20,731,726,175.08	流动负债合计	10,237,574,672.91
可供出售金融资产	126,599,821.46	长期借款	3,699,685,733.25
持有至到期投资		应付债券	2,877,416,844.46
长期应收款		长期应付款	
长期股权投资	90,495,450.68	专项应付款	
投资性房地产	373,550,877.85	预计负债	
固定资产	88,133,632.22	递延所得税负债	30,399,597.02
在建工程		其他非流动负债	
工程物资		非流动负债合计	6,607,502,174.73
固定资产清理		负债合计	16,845,076,847.64
生产性生物资产		实收资本(或股本)	1,817,661,006.00
油气资产		资本公积	40,000,000.00
无形资产	45,375,364.63	盈余公积	266,331,675.78
开发支出		减:库存股	
商誉	46,782,083.37	未分配利润	2,253,282,244.81
长期待摊费用		少数股东权益	330,229,536.67
递延所得税资产	49,917,905.61	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	820,855,135.82	所有者权益(或股东权益)合计	4,707,504,463.26
资产总计	21,552,581,310.90	负债和所有者(或股东权益)合计	21,552,581,310.90
科目	2015年度	科目	2015年度
一、营业收入	7,449,002,419.74	二、营业利润	1,107,227,716.71
减:营业成本	5,710,305,275.88	加:补贴收入	
营业税金及附加	488,789,786.54	营业外收入	11,486,141.84
销售费用	161,114,177.08	减:营业外支出	8,123,800.02
管理费用	107,352,446.44	其中:非流动资产处置净损失	14,166.52
堪探费用		加:影响利润总额的其他科目	
财务费用	-5,634,775.25	三、利润总额	1,110,590,058.53
资产减值损失	11,961,146.27	减:所得税	292,739,494.46
加:公允价值变动净收益	109,018.82	加:影响净利润的其他科目	
投资收益	132,004,335.11	四、净利润	817,850,564.07
其中:对联营企业和合营企业的投资权益	1,532,232.16	归属于母公司所有者的净利润	730,497,145.44
影响营业利润的其他科目		少数股东损益	87,353,418.63

