科目	2015-12-31	科目	2015-12-31
货币资金	3,016,083,829.36	短期借款	836,629,627.86
交易性金融资产	116,975.00	交易性金融负债	
应收票据		应付票据	
应收账款	6,974,004.77	应付账款	785,240,970.33
预付款项	6,053,068.07	预收款项	1,207,035,411.00
其他应收款	186,857,818.37	应付职工薪酬	32,815,442.90
应收关联公司款		应交税费	568,694,471.76
应收利息		应付利息	8,924,915.38
应收股利		应付股利	5,982,250.00
存货	16,490,928,992.17	其他应付款	4,111,139,043.69
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	2,278,000,000.00
其他流动资产	65,670,027.85	其他流动负债	
流动资产合计	19,772,684,715.59	流动负债合计	9,834,462,132.92
可供出售金融资产	44,700,000.00	长期借款	3,481,652,400.00
持有至到期投资		应付债券	1,507,729,368.93
长期应收款	56,926,137.49	长期应付款	1,810,275,219.55
长期股权投资		专项应付款	
投资性房地产		预计负债	
固定资产	203,845,698.35	递延所得税负债	11,172,416.70
在建工程	300,889,793.56	其他非流动负债	
工程物资		非流动负债合计	6,816,421,071.85
固定资产清理		负债合计	16,650,883,204.77
生产性生物资产		实收资本(或股本)	577,680,899.00
油气资产		资本公积	-379,677,629.19
无形资产	460,571.92	盈余公积	331,355,016.01
开发支出		减:库存股	
商誉		未分配利润	3,163,929,531.14
长期待摊费用	6,592,279.78	少数股东权益	56,784,740.67
递延所得税资产	226,542,619.03	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	839,957,100.13	所有者权益(或股东权益)合计	3,961,758,610.95
资产总计	20,612,641,815.72	负债和所有者(或股东权益)合计	20,612,641,815.72
科目	2015年度	科目	2015年度
一、营业收入	2,544,923,818.48	二、营业利润	1,729,378,528.22
减:营业成本	1,497,683,000.63	加:补贴收入	
营业税金及附加	285,879,179.77	营业外收入	20,678,043.26
销售费用	84,034,727.91	减:营业外支出	2,072,128.06
管理费用	79,621,208.86	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	66,295,427.73	三、利润总额	1,747,984,443.42
资产减值损失	-180,105,871.08	减:所得税	378,420,719.45
加:公允价值变动净收益	83,520.00	加:影响净利润的其他科目	
投资收益	1,017,778,863.56	四、净利润	1,369,563,723.97
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	1,370,765,032.99
影响营业利润的其他科目		少数股东损益	-1,201,309.02

