科目	2015-12-31	科目	2015-12-31
货币资金	109,727,160.57	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	48,399,184.68	应付账款	111,951,995.43
预付款项	400,707.06	预收款项	13,353,701.13
其他应收款	35,164,774.77	应付职工薪酬	11,749,514.62
应收关联公司款		应交税费	18,694,142.00
应收利息		应付利息	2,558,130.85
应收股利		应付股利	5,127,701.36
存货	763,928.54	其他应付款	230,056,041.42
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	36,000,000.00
其他流动资产	2,329,879.78	其他流动负债	
流动资产合计	196,785,635.40	流动负债合计	429,491,226.81
可供出售金融资产		长期借款	1,116,000,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	7,656,100,540.00	预计负债	51,335,980.78
固定资产	57,318,203.91	递延所得税负债	1,399,178,639.47
在建工程	456,000.00	其他非流动负债	
工程物资		非流动负债合计	2,566,514,620.25
固定资产清理		负债合计	2,996,005,847.06
生产性生物资产		实收资本(或股本)	573,892,434.00
油气资产		资本公积	2,349,020,380.54
无形资产	1,536,871.94	盈余公积	125,929,834.48
开发支出		减:库存股	
商誉		未分配利润	1,950,876,075.08
长期待摊费用	48,535,926.68	少数股东权益	
递延所得税资产	3,301,121.16	外币报表折算价差	
其他非流动资产	31,680,000.00	非正常经营项目收益调整	
非流动资产合计	7,798,928,663.69	所有者权益(或股东权益)合计	4,999,708,452.03
资产总计	7,995,714,299.09	负债和所有者(或股东权益)合计	7,995,714,299.09
科目	2015年度	科目	2015年度
一、营业收入	268,288,047.58	二、营业利润	22,783,214.28
减:营业成本	73,830,851.61	加:补贴收入	
营业税金及附加	13,620,088.04	营业外收入	32,643,018.36
销售费用	17,131,501.39	减:营业外支出	3,077,331.76
管理费用	52,302,029.14	其中:非流动资产处置净损失	33,287.53
堪探费用		加:影响利润总额的其他科目	
财务费用	171,850,445.88	三、利润总额	52,348,900.88
资产减值损失	1,790,542.10	减:所得税	14,003,865.68
加:公允价值变动净收益	3,476,240.00	加:影响净利润的其他科目	
投资收益	81,544,384.86	四、净利润	38,345,035.20
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	38,345,035.20
影响营业利润的其他科目		少数股东损益

