科目	2015-12-31	科目	2015-12-31
货币资金	1,206,480,079.06	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	10,030,161.52	应付账款	548,039,503.82
预付款项	3,845,205.24	预收款项	4,286,375,919.63
其他应收款	345,935,050.24	应付职工薪酬	28,537,761.59
应收关联公司款		应交税费	25,724,820.46
应收利息		应付利息	5,191,819.64
应收股利		应付股利	
存货	8,550,932,330.38	其他应付款	668,298,850.17
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,044,000,000.00
其他流动资产	157,635,060.86	其他流动负债	
流动资产合计	10,274,857,887.30	流动负债合计	6,606,168,675.31
可供出售金融资产	205,186,680.36	长期借款	1,447,500,000.00
持有至到期投资		应付债券	
长期应收款	17,098,922.67	长期应付款	
长期股权投资	689,150,631.10	专项应付款	66,888,384.00
投资性房地产	501,728,602.97	预计负债	
固定资产	11,034,006.58	递延所得税负债	3,690,508.97
在建工程		其他非流动负债	
工程物资		非流动负债合计	1,522,968,981.28
固定资产清理		负债合计	8,129,137,656.59
生产性生物资产		实收资本(或股本)	1,463,713,654.00
油气资产		资本公积	216,229,221.47
无形资产	172,122.71	盈余公积	263,809,635.42
开发支出		减:库存股	
商誉	147.50	未分配利润	1,807,430,205.91
长期待摊费用		少数股东权益	
递延所得税资产	192,611,344.87	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,616,982,458.76	所有者权益(或股东权益)合计	3,762,702,689.47
资产总计	11,891,840,346.06	负债和所有者(或股东权益)合计	11,891,840,346.06
科目	2015年度	科目	2015年度
一、营业收入	3,474,115,188.81	二、营业利润	460,182,045.81
减:营业成本	2,582,789,659.52	加:补贴收入	
营业税金及附加	313,061,139.09	营业外收入	13,227,246.86
销售费用	102,215,273.99	减:营业外支出	29,480,473.15
管理费用	48,792,950.27	其中:非流动资产处置净损失	55,025.03
堪探费用		加:影响利润总额的其他科目	
财务费用	7,795,132.48	三、利润总额	443,928,819.52
资产减值损失	-53,070,381.25	减:所得税	117,044,446.92
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-12,349,368.90	四、净利润	326,884,372.60
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	326,884,372.60
影响营业利润的其他科目		少数股东损益

