科目	2015-12-31	科目	2015-12-31
货币资金	744,021,907.50	短期借款	181,762,489.26
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	312,105.77	应付账款	262,225,465.37
预付款项	15,067,592.29	预收款项	89,224,436.46
其他应收款	267,916,979.58	应付职工薪酬	6,466,810.53
应收关联公司款		应交税费	73,545,455.32
应收利息		应付利息	36,256,735.00
应收股利		应付股利	
存货	1,041,199,622.67	其他应付款	303,438,418.80
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	39,373,312.00	一年内到期的非流动负债	180,000,000.00
其他流动资产	11,836,493.47	其他流动负债	28,844,123.84
流动资产合计	2,138,024,437.68	流动负债合计	1,161,763,934.58
可供出售金融资产	181,707,101.50	长期借款	800,000,000.00
持有至到期投资		应付债券	
长期应收款	860,632.77	长期应付款	
长期股权投资	37,050,681.97	专项应付款	
投资性房地产	320,067,399.22	预计负债	18,503,227.17
固定资产	95,122,712.37	递延所得税负债	15,421,220.20
在建工程	442,589,366.81	其他非流动负债	
工程物资		非流动负债合计	833,924,447.37
固定资产清理		负债合计	1,995,688,381.95
生产性生物资产		实收资本(或股本)	1,303,500,000.00
油气资产		资本公积	403,886,217.50
无形资产	474,548,726.03	盈余公积	140,369,367.50
开发支出		减:库存股	
商誉		未分配利润	-141,650,860.02
长期待摊费用		少数股东权益	11,126,207.30
递延所得税资产		外币报表折算价差	
其他非流动资产	74,580,000.00	非正常经营项目收益调整	
非流动资产合计	1,626,526,620.67	所有者权益(或股东权益)合计	1,768,862,676.40
资产总计	3,764,551,058.35	负债和所有者(或股东权益)合计	3,764,551,058.35
科目	2015年度	科目	2015年度
一、营业收入	129,604,515.21	二、营业利润	-67,684,209.99
减:营业成本	98,798,983.66	加:补贴收入	
营业税金及附加	8,977,811.12	营业外收入	129,417,382.00
销售费用	4,728,966.46	减:营业外支出	19,397,488.99
管理费用	113,926,561.11	其中:非流动资产处置净损失	11,864.70
堪探费用		加:影响利润总额的其他科目	
财务费用	48,043,666.14	三、利润总额	42,335,683.02
资产减值损失	7,267,985.46	减:所得税	16,497,749.76
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	84,455,248.75	四、净利润	25,837,933.26
其中:对联营企业和合营企业的投资权益	-4,364,335.78	归属于母公司所有者的净利润	27,991,657.79
影响营业利润的其他科目		少数股东损益	-2,153,724.53

