科目	2015-12-31	科目	2015-12-31
货币资金	4,719,877,430.77	短期借款	416,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	368,915,184.81	应付账款	3,143,783,299.53
预付款项	150,761,957.11	预收款项	4,911,169,555.72
其他应收款	313,876,880.14	应付职工薪酬	68,466,036.40
应收关联公司款		应交税费	1,203,492,003.29
应收利息	35,233.34	应付利息	219,909,959.12
应收股利	65,401,928.43	应付股利	26,250,081.91
存货	16,677,014,990.12	其他应付款	805,870,326.70
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	30,265,581.15	一年内到期的非流动负债	631,657,390.87
其他流动资产	714,272,875.56	其他流动负债	
流动资产合计	23,072,422,061.43	流动负债合计	11,426,598,653.54
可供出售金融资产	3,047,833,079.64	长期借款	4,833,597,774.35
持有至到期投资		应付债券	5,356,475,784.82
长期应收款	4,083,563,988.06	长期应付款	13,691,517.00
长期股权投资	8,139,425,312.84	专项应付款	
投资性房地产	1,803,177,624.76	预计负债	120,852,643.30
固定资产	271,017,643.07	递延所得税负债	532,657,360.57
在建工程	2,164,592.09	其他非流动负债	
工程物资		非流动负债合计	11,733,709,194.90
固定资产清理		负债合计	23,160,307,848.44
生产性生物资产		实收资本(或股本)	2,987,523,518.00
油气资产		资本公积	4,111,481,309.30
无形资产	3,082,942,679.31	盈余公积	1,846,728,710.05
开发支出	1,215,585.31	减:库存股	
商誉		未分配利润	9,995,681,659.17
长期待摊费用	787,904.74	少数股东权益	411,036,617.98
递延所得税资产	119,670,590.59	外币报表折算价差	
其他非流动资产	195,190,891.80	非正常经营项目收益调整	
非流动资产合计	20,746,989,892.21	所有者权益(或股东权益)合计	20,659,104,105.20
资产总计	43,819,411,953.64	负债和所有者(或股东权益)合计	43,819,411,953.64
科目	2015年度	科目	2015年度
一、营业收入	7,976,945,369.17	二、营业利润	4,514,228,053.68
减:营业成本	5,972,777,384.41	加:补贴收入	
营业税金及附加	552,111,735.19	营业外收入	74,696,577.78
销售费用	102,365,302.74	减:营业外支出	9,759,112.55
管理费用	268,244,700.27	其中:非流动资产处置净损失	224,487.14
堪探费用		加:影响利润总额的其他科目	
财务费用	297,344,437.21	三、利润总额	4,579,165,518.91
资产减值损失	-38,837,516.37	减:所得税	954,357,836.27
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	3,691,288,727.96	四、净利润	3,624,807,682.64
其中:对联营企业和合营企业的投资权益	702,496,290.53	归属于母公司所有者的净利润	3,611,951,450.39
影响营业利润的其他科目		少数股东损益	12,856,232.25

