科目	2015-12-31	科目	2015-12-31
货币资金	472,891,713.00	短期借款	432,756,142.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	141,547,001.00	应付账款	15,303,671.00
预付款项	21,149,268.00	预收款项	62,885,339.00
其他应收款	7,862,400.00	应付职工薪酬	59,725,152.00
应收关联公司款		应交税费	33,250,228.00
应收利息		应付利息	13,867,293.00
应收股利		应付股利	
存货	23,419,985.00	其他应付款	1,055,572,725.00
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	
其他流动资产		其他流动负债	
流动资产合计	666,870,367.00	流动负债合计	1,673,360,550.00
可供出售金融资产		长期借款	2,000,000,000.00
持有至到期投资		应付债券	894,000,000.00
长期应收款		长期应付款	
长期股权投资	6,177,022.00	专项应付款	
投资性房地产	6,305,047,979.00	预计负债	
固定资产	1,146,390,545.00	递延所得税负债	
在建工程	684,088,959.00	其他非流动负债	
工程物资		非流动负债合计	2,894,000,000.00
固定资产清理		负债合计	4,567,360,550.00
生产性生物资产		实收资本(或股本)	1,007,282,534.00
油气资产		资本公积	1,872,518,599.00
无形资产	1,176,127,134.00	盈余公积	503,641,267.00
开发支出		减:库存股	
商誉		未分配利润	2,266,579,445.00
长期待摊费用	181,376,217.00	少数股东权益	1,774,604.00
递延所得税资产	53,078,776.00	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	9,552,286,632.00	所有者权益(或股东权益)合计	5,651,796,449.00
资产总计	10,219,156,999.00	负债和所有者(或股东权益)合计	10,219,156,999.00
科目	2015年度	科目	2015年度
一、营业收入	2,271,278,419.00	二、营业利润	824,466,844.00
减:营业成本	1,105,533,707.00	加:补贴收入	
营业税金及附加	126,314,115.00	营业外收入	16,749,991.00
销售费用	46,321,930.00	减:营业外支出	2,288,497.00
管理费用	73,747,617.00	其中:非流动资产处置净损失	1,788,404.00
堪探费用		加:影响利润总额的其他科目	
财务费用	107,750,572.00	三、利润总额	838,928,338.00
资产减值损失		减:所得税	210,665,216.00
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	12,856,366.00	四、净利润	628,263,122.00
其中:对联营企业和合营企业的投资权益	605,795.00	归属于母公司所有者的净利润	627,598,722.00
影响营业利润的其他科目		少数股东损益	664,400.00

