科目	2015-12-31	科目	2015-12-31
货币资金	4,861,154,500.73	短期借款	545,093,241.23
交易性金融资产		交易性金融负债	
应收票据	18,459,479.98	应付票据	83,666,125.00
应收账款	187,487,699.42	应付账款	3,489,139,288.68
预付款项	1,271,339,535.68	预收款项	2,358,655,153.12
其他应收款	387,596,182.60	应付职工薪酬	129,793,720.27
应收关联公司款		应交税费	506,233,613.90
应收利息		应付利息	257,980,878.77
应收股利		应付股利	15,845.88
存货	18,175,110,759.05	其他应付款	1,109,479,144.14
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	5,261,407,880.57
其他流动资产	1,615,975.01	其他流动负债	928,905,834.22
流动资产合计	24,902,764,132.47	流动负债合计	14,670,370,725.78
可供出售金融资产	1,741,302.90	长期借款	6,913,749,884.23
持有至到期投资		应付债券	5,255,934,580.51
长期应收款		长期应付款	
长期股权投资	1,306,911,534.68	专项应付款	
投资性房地产	2,865,943,187.79	预计负债	
固定资产	1,418,095,499.08	递延所得税负债	324,966,379.26
在建工程	2,119,509,257.82	其他非流动负债	
工程物资		非流动负债合计	12,540,552,657.82
固定资产清理	5,492.80	负债合计	27,210,923,383.60
生产性生物资产		实收资本(或股本)	535,905,722.00
油气资产		资本公积	2,104,356,860.30
无形资产	611,400,299.76	盈余公积	246,744,097.39
开发支出		减:库存股	
商誉	281,527,099.08	未分配利润	3,017,922,425.60
长期待摊费用	44,074,247.20	少数股东权益	864,799,469.54
递延所得税资产	390,199,298.27	外币报表折算价差	
其他非流动资产	51,981,635.00	非正常经营项目收益调整	
非流动资产合计	9,091,388,854.38	所有者权益(或股东权益)合计	6,783,229,603.25
资产总计	33,994,152,986.85	负债和所有者(或股东权益)合计	33,994,152,986.85
科目	2015年度	科目	2015年度
一、营业收入	4,646,683,451.65	二、营业利润	250,839,180.46
减:营业成本	3,414,312,148.40	加:补贴收入	
营业税金及附加	369,064,754.23	营业外收入	144,180,267.71
销售费用	285,839,261.78	减:营业外支出	3,503,978.40
管理费用	381,281,050.64	其中:非流动资产处置净损失	444,482.80
堪探费用		加:影响利润总额的其他科目	
财务费用	187,026,773.20	三、利润总额	391,515,469.77
资产减值损失	9,174,443.97	减:所得税	103,592,659.82
加:公允价值变动净收益	68,462,402.43	加:影响净利润的其他科目	
投资收益	182,391,758.60	四、净利润	287,922,809.95
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	306,745,766.15
影响营业利润的其他科目		少数股东损益	-18,822,956.20

