科目	2015-12-31	科目	2015-12-31
货币资金	1,040,921,038.02	短期借款	1,460,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	83,179,962.40	应付账款	342,104,190.06
预付款项	11,612,672.15	预收款项	310,433,235.77
其他应收款	18,685,790.65	应付职工薪酬	39,155,640.25
应收关联公司款		应交税费	862,978,841.43
应收利息		应付利息	11,428,728.46
应收股利	3,311,002.00	应付股利	
存货	2,305,647,551.51	其他应付款	539,788,585.83
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	84,270,564.00
其他流动资产		其他流动负债	1,867,500.00
流动资产合计	3,463,358,016.73	流动负债合计	3,652,027,285.80
可供出售金融资产	4,014,791,848.06	长期借款	1,848,353,244.25
持有至到期投资		应付债券	1,191,396,259.39
长期应收款		长期应付款	617,826,711.84
长期股权投资	4,328,127.59	专项应付款	
投资性房地产	4,958,531,222.07	预计负债	
固定资产	674,587,527.01	递延所得税负债	921,599,434.24
在建工程	4,141,533,651.55	其他非流动负债	
工程物资		非流动负债合计	4,951,205,926.49
固定资产清理		负债合计	8,603,233,212.29
生产性生物资产		实收资本(或股本)	1,122,412,893.00
油气资产		资本公积	1,708,961,241.26
无形资产	205,098,601.91	盈余公积	647,390,498.43
开发支出		减:库存股	
商誉		未分配利润	2,859,083,780.71
长期待摊费用	4,787,158.65	少数股东权益	
递延所得税资产	234,644,621.22	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	14,238,302,758.06	所有者权益(或股东权益)合计	9,098,427,562.50
资产总计	17,701,660,774.79	负债和所有者(或股东权益)合计	17,701,660,774.79
科目	2015年度	科目	2015年度
一、营业收入	1,499,644,056.47	二、营业利润	605,509,627.98
减:营业成本	547,527,465.96	加:补贴收入	
营业税金及附加	178,307,485.60	营业外收入	15,163,692.07
销售费用	25,764,075.32	减:营业外支出	339,460.55
管理费用	71,900,274.32	其中:非流动资产处置净损失	138,024.55
堪探费用		加:影响利润总额的其他科目	
财务费用	118,797,569.54	三、利润总额	620,333,859.50
资产减值损失	7,849,177.72	减:所得税	148,814,387.86
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	56,011,619.97	四、净利润	471,519,471.64
其中:对联营企业和合营企业的投资权益	1,506,033.39	归属于母公司所有者的净利润	471,519,471.64
影响营业利润的其他科目		少数股东损益

