科目	2015-12-31	科目	2015-12-31
货币资金	858,971,245.12	短期借款	166,153,265.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	4,692,882.24	应付账款	12,018,736.06
预付款项	567,057,206.15	预收款项	11,216,669.50
其他应收款	50,345,592.93	应付职工薪酬	3,282,233.62
应收关联公司款		应交税费	51,662,437.88
应收利息		应付利息	15,809,476.66
应收股利		应付股利	
存货	879,878,789.03	其他应付款	613,530,787.66
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	
其他流动资产	10,411,665.75	其他流动负债	
流动资产合计	2,371,357,381.22	流动负债合计	873,673,606.38
可供出售金融资产	14,205,148.08	长期借款	63,919,605.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产		预计负债	819,124.27
固定资产	1,354,131.38	递延所得税负债	
在建工程		其他非流动负债	1,288,665,228.98
工程物资		非流动负债合计	1,353,403,958.25
固定资产清理		负债合计	2,227,077,564.63
生产性生物资产		实收资本(或股本)	309,400,000.00
油气资产		资本公积	89,851,645.51
无形资产	77,774,784.51	盈余公积	4,855,407.80
开发支出		减:库存股	
商誉		未分配利润	-197,610,342.57
长期待摊费用		少数股东权益	104,203,865.29
递延所得税资产	686,695.47	外币报表折算价差	
其他非流动资产	72,400,000.00	非正常经营项目收益调整	
非流动资产合计	166,420,759.44	所有者权益(或股东权益)合计	310,700,576.03
资产总计	2,537,778,140.66	负债和所有者(或股东权益)合计	2,537,778,140.66
科目	2015年度	科目	2015年度
一、营业收入	239,484,202.38	二、营业利润	-41,558,891.47
减:营业成本	247,198,420.00	加:补贴收入	
营业税金及附加	1,144,553.90	营业外收入	6,410,000.00
销售费用	1,522,428.05	减:营业外支出	2,009.41
管理费用	12,295,527.91	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	17,609,563.46	三、利润总额	-35,150,900.88
资产减值损失	1,272,600.53	减:所得税	3,085,746.48
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益		四、净利润	-38,236,647.36
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	-35,393,779.69
影响营业利润的其他科目		少数股东损益	-2,842,867.67

