科目	2015-12-31	科目	2015-12-31
货币资金	71,713,819.25	短期借款	633,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	50,000,000.00
应收账款	11,549,810.44	应付账款	403,762,480.52
预付款项	180,333,226.11	预收款项	261,747,370.04
其他应收款	54,971,286.79	应付职工薪酬	2,056,945.55
应收关联公司款		应交税费	236,780,702.18
应收利息		应付利息	8,400,838.30
应收股利	3,657,131.65	应付股利	
存货	4,781,781,142.17	其他应付款	1,758,593,656.42
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	420,000,000.00
其他流动资产	11,721,514.61	其他流动负债	
流动资产合计	5,115,727,931.02	流动负债合计	3,774,341,993.01
可供出售金融资产	193,051,160.00	长期借款	791,000,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	4,001,716.77
长期股权投资	75,777,064.47	专项应付款	
投资性房地产		预计负债	
固定资产	211,733,500.12	递延所得税负债	
在建工程	737,000.00	其他非流动负债	
工程物资		非流动负债合计	795,001,716.77
固定资产清理		负债合计	4,569,343,709.78
生产性生物资产		实收资本(或股本)	871,789,092.00
油气资产		资本公积	45,541,886.51
无形资产	9,200,636.02	盈余公积	167,586,056.66
开发支出		减:库存股	
商誉	247,463,429.27	未分配利润	216,414,176.70
长期待摊费用	1,143,300.70	少数股东权益	
递延所得税资产	15,464,111.83	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	754,570,202.41	所有者权益(或股东权益)合计	1,300,954,423.65
资产总计	5,870,298,133.43	负债和所有者(或股东权益)合计	5,870,298,133.43
科目	2015年度	科目	2015年度
一、营业收入	2,342,096,428.84	二、营业利润	-599,958,440.31
减:营业成本	1,894,817,434.98	加:补贴收入	
营业税金及附加	178,800,169.89	营业外收入	9,149,219.97
销售费用	100,679,027.43	减:营业外支出	5,039,555.00
管理费用	80,639,569.55	其中:非流动资产处置净损失	28,356.24
堪探费用		加:影响利润总额的其他科目	
财务费用	262,118,811.60	三、利润总额	-595,848,775.34
资产减值损失	601,915,725.63	减:所得税	60,352,239.39
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	176,915,869.93	四、净利润	-656,201,014.73
其中:对联营企业和合营企业的投资权益	-3,066,084.84	归属于母公司所有者的净利润	-656,112,599.81
影响营业利润的其他科目		少数股东损益	-88,414.92

