科目	2015-12-31	科目	2015-12-31
货币资金	3,779,136,133.23	短期借款	556,700,000.00
交易性金融资产	7,252,791.18	交易性金融负债	
应收票据		应付票据	248,027,182.57
应收账款	50,646,406.09	应付账款	2,206,178,549.35
预付款项	122,968,929.10	预收款项	3,493,846,643.57
其他应收款	813,007,834.47	应付职工薪酬	67,269,800.55
应收关联公司款		应交税费	293,882,976.04
应收利息		应付利息	6,814,332.95
应收股利		应付股利	20,090,000.00
存货	9,314,656,654.61	其他应付款	799,776,312.94
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	896,794,912.50
其他流动资产	440,648,573.72	其他流动负债	627,621,451.63
流动资产合计	14,528,317,322.40	流动负债合计	9,217,002,162.10
可供出售金融资产	18,350,000.00	长期借款	2,441,424,328.33
持有至到期投资		应付债券	691,057,805.64
长期应收款		长期应付款	
长期股权投资	18,354,429.73	专项应付款	
投资性房地产	1,154,053,617.69	预计负债	
固定资产	541,076,184.44	递延所得税负债	965,932.81
在建工程	455,958,139.80	其他非流动负债	
工程物资		非流动负债合计	3,151,565,383.01
固定资产清理		负债合计	12,368,567,545.11
生产性生物资产		实收资本(或股本)	1,596,457,572.00
油气资产		资本公积	2,050,066,134.00
无形资产	111,178,082.02	盈余公积	34,430,757.32
开发支出		减:库存股	67,222,000.00
商誉		未分配利润	799,340,334.09
长期待摊费用	126,247,921.76	少数股东权益	448,259,944.27
递延所得税资产	278,061,605.24	外币报表折算价差	
其他非流动资产	913,470.38	非正常经营项目收益调整	
非流动资产合计	2,704,193,451.06	所有者权益(或股东权益)合计	4,863,943,228.35
资产总计	17,232,510,773.46	负债和所有者(或股东权益)合计	17,232,510,773.46
科目	2015年度	科目	2015年度
一、营业收入	4,211,653,866.98	二、营业利润	534,123,860.54
减:营业成本	2,410,666,892.65	加:补贴收入	
营业税金及附加	422,741,099.62	营业外收入	34,162,385.98
销售费用	338,211,403.37	减:营业外支出	7,657,579.05
管理费用	335,010,771.84	其中:非流动资产处置净损失	2,661,167.65
堪探费用		加:影响利润总额的其他科目	
财务费用	156,543,131.00	三、利润总额	560,628,667.47
资产减值损失	22,301,664.37	减:所得税	232,466,403.41
加:公允价值变动净收益	2,106,567.19	加:影响净利润的其他科目	
投资收益	5,838,389.22	四、净利润	328,162,264.06
其中:对联营企业和合营企业的投资权益	-45,148.26	归属于母公司所有者的净利润	389,717,521.48
影响营业利润的其他科目		少数股东损益	-61,555,257.42

