科目	2015-12-31	科目	2015-12-31
货币资金	702,328,473.35	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	16,995,905.22	应付账款	215,335,119.96
预付款项	45,299,307.90	预收款项	167,454,333.33
其他应收款	17,759,143.38	应付职工薪酬	14,717,838.99
应收关联公司款		应交税费	15,546,879.61
应收利息	770,898.34	应付利息	
应收股利	31,081,768.75	应付股利	10,422,611.19
存货	822,555,899.54	其他应付款	111,727,368.82
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	
其他流动资产	395,449,989.53	其他流动负债	
流动资产合计	2,032,241,386.01	流动负债合计	535,204,151.90
可供出售金融资产		长期借款	
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	649,456,721.38	专项应付款	
投资性房地产	23,259,266.95	预计负债	64,298,447.21
固定资产	140,707,084.28	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	64,298,447.21
固定资产清理		负债合计	599,502,599.11
生产性生物资产		实收资本(或股本)	988,828,300.00
油气资产		资本公积	943,930,226.11
无形资产	257,132,718.24	盈余公积	348,732,040.44
开发支出		减:库存股	
商誉		未分配利润	220,008,169.15
长期待摊费用	1,407,259.34	少数股东权益	10,858,705.34
递延所得税资产	20,441,302.81	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,092,404,353.00	所有者权益(或股东权益)合计	2,525,143,139.90
资产总计	3,124,645,739.01	负债和所有者(或股东权益)合计	3,124,645,739.01
科目	2015年度	科目	2015年度
一、营业收入	212,239,850.16	二、营业利润	-134,359,834.56
减:营业成本	110,437,486.02	加:补贴收入	
营业税金及附加	15,303,849.83	营业外收入	441,434.85
销售费用	26,330,400.67	减:营业外支出	66,002,574.77
管理费用	80,960,351.49	其中:非流动资产处置净损失	60,128.46
堪探费用		加:影响利润总额的其他科目	
财务费用	-8,933,427.61	三、利润总额	-199,920,974.48
资产减值损失	173,456,679.59	减:所得税	26,895,196.67
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	50,955,655.27	四、净利润	-226,816,171.15
其中:对联营企业和合营企业的投资权益	30,641,979.34	归属于母公司所有者的净利润	-226,783,503.91
影响营业利润的其他科目		少数股东损益	-32,667.24

