科目	2015-12-31	科目	2015-12-31
货币资金	3,124,646,549.79	短期借款	403,950,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	28,300,000.00
应收账款	3,763,555.52	应付账款	792,724,222.65
预付款项	71,194,672.73	预收款项	1,355,317,372.35
其他应收款	32,089,195.82	应付职工薪酬	1,999,481.44
应收关联公司款		应交税费	43,740,194.19
应收利息		应付利息	160,533,333.33
应收股利		应付股利	73,506,167.63
存货	19,277,419,966.70	其他应付款	439,949,989.96
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	3,911,330,000.00
其他流动资产	252,323,508.26	其他流动负债	619,764.86
流动资产合计	22,761,437,448.82	流动负债合计	7,211,970,526.41
可供出售金融资产	42,782,195.00	长期借款	6,413,809,873.00
持有至到期投资		应付债券	5,136,362,719.87
长期应收款		长期应付款	90,191.12
长期股权投资	37,223,625.68	专项应付款	
投资性房地产	1,388,677,262.56	预计负债	15,324,073.50
固定资产	115,643,717.42	递延所得税负债	1,815,734.67
在建工程		其他非流动负债	8,020,246.16
工程物资		非流动负债合计	11,576,341,905.32
固定资产清理		负债合计	18,788,312,431.73
生产性生物资产		实收资本(或股本)	1,105,700,000.00
油气资产		资本公积	2,205,241,832.32
无形资产	6,211,561.54	盈余公积	295,527,059.22
开发支出		减:库存股	
商誉	10,548,333.22	未分配利润	935,775,377.01
长期待摊费用	8,867,416.78	少数股东权益	1,060,456,434.29
递延所得税资产	19,621,573.55	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,629,575,685.75	所有者权益(或股东权益)合计	5,602,700,702.84
资产总计	24,391,013,134.57	负债和所有者(或股东权益)合计	24,391,013,134.57
科目	2015年度	科目	2015年度
一、营业收入	3,802,176,274.39	二、营业利润	216,682,516.63
减:营业成本	2,867,317,224.99	加:补贴收入	
营业税金及附加	249,014,875.08	营业外收入	84,043,886.60
销售费用	139,172,642.93	减:营业外支出	653,545.36
管理费用	165,430,740.13	其中:非流动资产处置净损失	420,394.71
堪探费用		加:影响利润总额的其他科目	
财务费用	160,002,675.19	三、利润总额	300,072,857.87
资产减值损失	868,000.63	减:所得税	117,812,562.22
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-3,687,598.81	四、净利润	182,260,295.65
其中:对联营企业和合营企业的投资权益	-4,453,408.61	归属于母公司所有者的净利润	4,494,808.10
影响营业利润的其他科目		少数股东损益	177,765,487.55

