科目	2015-12-31	科目	2015-12-31
货币资金	8,543,148,911.92	短期借款	1,525,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	827,999,630.61	应付账款	4,038,338,883.38
预付款项	5,623,599,357.51	预收款项	8,617,936,157.38
其他应收款	1,483,023,068.58	应付职工薪酬	155,677,593.53
应收关联公司款		应交税费	2,141,055,456.23
应收利息		应付利息	
应收股利		应付股利	
存货	64,915,434,110.87	其他应付款	3,864,994,036.51
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	6,335,553,438.05
其他流动资产	1,335,938,374.95	其他流动负债	
流动资产合计	82,729,143,454.44	流动负债合计	26,678,555,565.08
可供出售金融资产	141,320,259.80	长期借款	31,746,166,659.44
持有至到期投资		应付债券	15,975,875,766.87
长期应收款		长期应付款	
长期股权投资	90,382,851.60	专项应付款	
投资性房地产	17,637,465,393.42	预计负债	
固定资产	2,885,539,616.80	递延所得税负债	2,274,531,177.02
在建工程	11,284,322.26	其他非流动负债	
工程物资		非流动负债合计	49,996,573,603.33
固定资产清理		负债合计	76,675,129,168.41
生产性生物资产		实收资本(或股本)	2,988,929,907.00
油气资产		资本公积	6,884,255,185.27
无形资产	791,352,185.95	盈余公积	1,097,717,104.44
开发支出		减:库存股	
商誉		未分配利润	14,472,392,547.18
长期待摊费用	2,573,053.20	少数股东权益	3,516,276,004.58
递延所得税资产	1,180,395,343.33	外币报表折算价差	
其他非流动资产	209,219,379.48	非正常经营项目收益调整	
非流动资产合计	22,949,532,405.84	所有者权益(或股东权益)合计	29,003,546,691.87
资产总计	105,678,675,860.28	负债和所有者(或股东权益)合计	105,678,675,860.28
科目	2015年度	科目	2015年度
一、营业收入	15,564,750,045.63	二、营业利润	3,188,971,884.34
减:营业成本	10,886,817,123.04	加:补贴收入	
营业税金及附加	1,478,914,486.76	营业外收入	47,950,672.87
销售费用	550,869,627.33	减:营业外支出	29,073,124.44
管理费用	616,152,796.85	其中:非流动资产处置净损失	313,452.83
堪探费用		加:影响利润总额的其他科目	
财务费用	908,132,779.47	三、利润总额	3,207,849,432.77
资产减值损失	130,293,388.52	减:所得税	942,794,010.07
加:公允价值变动净收益	2,120,775,195.73	加:影响净利润的其他科目	
投资收益	74,626,844.95	四、净利润	2,265,055,422.70
其中:对联营企业和合营企业的投资权益	-1,058,199.42	归属于母公司所有者的净利润	2,253,185,469.54
影响营业利润的其他科目		少数股东损益	11,869,953.16

