科目	2015-12-31	科目	2015-12-31
货币资金	1,079,179,570.53	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款		应付账款	674,646,618.14
预付款项	23,744,783.15	预收款项	2,208,310,948.16
其他应收款	35,837,291.71	应付职工薪酬	5,210,461.41
应收关联公司款		应交税费	7,041,811.35
应收利息		应付利息	2,674,361.04
应收股利		应付股利	
存货	5,479,290,074.39	其他应付款	480,351,214.74
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	126,000,000.00
其他流动资产		其他流动负债	
流动资产合计	6,618,051,719.78	流动负债合计	3,504,235,414.84
可供出售金融资产		长期借款	1,530,000,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产		预计负债	
固定资产	67,298,820.96	递延所得税负债	13,894,356.15
在建工程		其他非流动负债	
工程物资		非流动负债合计	1,543,894,356.15
固定资产清理		负债合计	5,048,129,770.99
生产性生物资产		实收资本(或股本)	320,100,000.00
油气资产		资本公积	290,011,424.95
无形资产	38,333.23	盈余公积	265,586,334.53
开发支出		减:库存股	
商誉	1,344,587.74	未分配利润	674,012,140.52
长期待摊费用		少数股东权益	99,522,271.62
递延所得税资产	10,628,480.90	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	79,310,222.83	所有者权益(或股东权益)合计	1,649,232,171.62
资产总计	6,697,361,942.61	负债和所有者(或股东权益)合计	6,697,361,942.61
科目	2015年度	科目	2015年度
一、营业收入	1,881,123,498.95	二、营业利润	121,371,164.22
减:营业成本	1,400,238,104.50	加:补贴收入	
营业税金及附加	176,800,779.22	营业外收入	236,373.72
销售费用	39,986,638.53	减:营业外支出	203,702.17
管理费用	55,914,875.72	其中:非流动资产处置净损失	3,487.86
堪探费用		加:影响利润总额的其他科目	
财务费用	83,591,047.51	三、利润总额	121,403,835.77
资产减值损失	2,483,948.10	减:所得税	33,579,638.90
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-736,941.15	四、净利润	87,824,196.87
其中:对联营企业和合营企业的投资权益	-364,341.78	归属于母公司所有者的净利润	91,519,553.63
影响营业利润的其他科目		少数股东损益	-3,695,356.76

