科目	2015-12-31	科目	2015-12-31
货币资金	509,638,428.23	短期借款	10,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	120,000,000.00
应收账款	92,783,862.13	应付账款	486,870,704.77
预付款项	37,453,661.60	预收款项	493,383,834.68
其他应收款	291,381,075.06	应付职工薪酬	37,188,336.83
应收关联公司款		应交税费	-23,244,446.38
应收利息		应付利息	
应收股利		应付股利	3,567,831.99
存货	2,535,373,114.07	其他应付款	466,405,430.51
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	687,314.34	一年内到期的非流动负债	200,000,000.00
其他流动资产	70,000,000.00	其他流动负债	
流动资产合计	3,537,317,455.43	流动负债合计	1,794,171,692.40
可供出售金融资产	12,126,351.87	长期借款	275,334,100.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	42,179,322.60	专项应付款	
投资性房地产	25,661,962.19	预计负债	
固定资产	112,475,895.28	递延所得税负债	5,753,214.59
在建工程		其他非流动负债	
工程物资		非流动负债合计	281,087,314.59
固定资产清理		负债合计	2,075,259,006.99
生产性生物资产		实收资本(或股本)	843,735,373.00
油气资产		资本公积	23,806,569.12
无形资产	12,060,846.12	盈余公积	108,107,221.66
开发支出		减:库存股	
商誉	58,944,729.67	未分配利润	562,668,516.82
长期待摊费用	16,575,510.78	少数股东权益	269,144,579.43
递延所得税资产	79,995,543.25	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	360,020,161.76	所有者权益(或股东权益)合计	1,822,078,610.20
资产总计	3,897,337,617.19	负债和所有者(或股东权益)合计	3,897,337,617.19
科目	2015年度	科目	2015年度
一、营业收入	851,407,977.59	二、营业利润	76,942,008.21
减:营业成本	650,016,135.99	加:补贴收入	
营业税金及附加	32,127,300.14	营业外收入	7,425,740.68
销售费用	45,799,281.56	减:营业外支出	1,381,366.72
管理费用	131,387,477.65	其中:非流动资产处置净损失	500,345.48
堪探费用		加:影响利润总额的其他科目	
财务费用	-24,792,805.80	三、利润总额	82,986,382.17
资产减值损失	1,832,057.18	减:所得税	11,850,901.62
加:公允价值变动净收益	-578,510.15	加:影响净利润的其他科目	
投资收益	62,481,987.49	四、净利润	71,135,480.55
其中:对联营企业和合营企业的投资权益	12,814,310.35	归属于母公司所有者的净利润	77,592,111.68
影响营业利润的其他科目		少数股东损益	-6,456,631.13

