科目	2015-12-31	科目	2015-12-31
货币资金	1,330,324,645.49	短期借款	780,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	226,032.30	应付账款	215,898,011.16
预付款项	344,079,466.12	预收款项	229,028,737.66
其他应收款	471,611,888.90	应付职工薪酬	3,069,405.65
应收关联公司款		应交税费	135,934,196.62
应收利息		应付利息	1,326,293.31
应收股利		应付股利	
存货	7,616,146,900.64	其他应付款	1,711,131,552.03
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	750,000,000.00
其他流动资产	173,774,702.08	其他流动负债	
流动资产合计	9,936,163,635.53	流动负债合计	3,826,388,196.43
可供出售金融资产	56,564,735.61	长期借款	2,686,338,200.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	101,331,133.97	预计负债	
固定资产	236,851,443.47	递延所得税负债	360,351,172.34
在建工程		其他非流动负债	
工程物资		非流动负债合计	3,046,689,372.34
固定资产清理		负债合计	6,873,077,568.77
生产性生物资产		实收资本(或股本)	711,217,269.00
油气资产		资本公积	85,921,100.11
无形资产	3,752,158.61	盈余公积	179,724,850.91
开发支出		减:库存股	
商誉	328,791.01	未分配利润	1,324,704,259.84
长期待摊费用	5,577,512.32	少数股东权益	1,173,830,487.84
递延所得税资产	6,906,125.95	外币报表折算价差	
其他非流动资产	1,000,000.00	非正常经营项目收益调整	
非流动资产合计	412,311,900.94	所有者权益(或股东权益)合计	3,475,397,967.70
资产总计	10,348,475,536.47	负债和所有者(或股东权益)合计	10,348,475,536.47
科目	2015年度	科目	2015年度
一、营业收入	3,329,131,391.78	二、营业利润	483,855,397.99
减:营业成本	2,220,671,156.83	加:补贴收入	
营业税金及附加	465,974,850.26	营业外收入	1,262,920.16
销售费用	65,296,450.10	减:营业外支出	1,425,532.77
管理费用	72,153,651.99	其中:非流动资产处置净损失	332,829.99
堪探费用		加:影响利润总额的其他科目	
财务费用	22,464,569.00	三、利润总额	483,692,785.38
资产减值损失		减:所得税	118,771,472.53
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	1,284,684.39	四、净利润	364,921,312.85
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	286,790,703.44
影响营业利润的其他科目		少数股东损益	78,130,609.41

