科目	2015-12-31	科目	2015-12-31
货币资金	149,448,771.06	短期借款	
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款		应付账款	5,174,694.28
预付款项		预收款项	
其他应收款	279,399.47	应付职工薪酬	1,524,327.85
应收关联公司款		应交税费	1,097,247.40
应收利息		应付利息	
应收股利		应付股利	3,042,718.48
存货	717,635.14	其他应付款	24,846,673.77
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	
其他流动资产	415,356.23	其他流动负债	
流动资产合计	241,220,207.89	流动负债合计	35,685,661.78
可供出售金融资产		长期借款	
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资		专项应付款	
投资性房地产	119,460,498.11	预计负债	
固定资产	4,462,237.59	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	
固定资产清理		负债合计	35,685,661.78
生产性生物资产		实收资本(或股本)	579,194,925.00
油气资产		资本公积	20,337,892.29
无形资产		盈余公积	84,916,187.17
开发支出		减:库存股	
商誉		未分配利润	-356,562,583.35
长期待摊费用		少数股东权益	1,570,860.70
递延所得税资产		外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	123,922,735.70	所有者权益(或股东权益)合计	329,457,281.81
资产总计	365,142,943.59	负债和所有者(或股东权益)合计	365,142,943.59
科目	2015年度	科目	2015年度
一、营业收入	15,919,322.11	二、营业利润	9,430,637.86
减:营业成本	11,705,052.62	加:补贴收入	
营业税金及附加	1,619,528.51	营业外收入	4,259,083.93
销售费用		减:营业外支出	750,798.00
管理费用	24,539,541.61	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	-4,821,410.83	三、利润总额	12,938,923.79
资产减值损失		减:所得税	806,002.13
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	26,554,027.66	四、净利润	12,132,921.66
其中:对联营企业和合营企业的投资权益	-383,071.91	归属于母公司所有者的净利润	12,133,533.81
影响营业利润的其他科目		少数股东损益	-612.15

