科目	2015-12-31	科目	2015-12-31
货币资金	6,995,199,796.82	短期借款	20,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	88,145,292.15	应付账款	6,241,776,403.80
预付款项	995,436,190.86	预收款项	9,569,863,686.90
其他应收款	1,296,973,322.14	应付职工薪酬	62,081,441.01
应收关联公司款		应交税费	376,845,967.60
应收利息	1,135,850.80	应付利息	121,473,333.33
应收股利	186,999,316.86	应付股利	81,894,600.00
存货	42,050,007,421.90	其他应付款	1,432,216,551.40
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	8,439,865,122.06
其他流动资产	94,860,074.39	其他流动负债	
流动资产合计	51,708,757,265.92	流动负债合计	26,346,017,106.10
可供出售金融资产	7,491,102,230.74	长期借款	5,782,762,456.46
持有至到期投资		应付债券	5,728,206,156.12
长期应收款		长期应付款	
长期股权投资	1,347,648,413.78	专项应付款	
投资性房地产	2,594,973,942.65	预计负债	
固定资产	165,750,088.98	递延所得税负债	2,077,905,750.46
在建工程		其他非流动负债	3,694,400,000.00
工程物资		非流动负债合计	17,283,274,363.04
固定资产清理		负债合计	43,629,291,469.14
生产性生物资产		实收资本(或股本)	1,567,040,000.00
油气资产		资本公积	3,797,322,875.17
无形资产		盈余公积	721,939,210.04
开发支出		减:库存股	
商誉		未分配利润	7,336,425,152.19
长期待摊费用	2,763,293.60	少数股东权益	994,825,574.49
递延所得税资产	723,564,235.96	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	12,325,802,205.71	所有者权益(或股东权益)合计	20,405,268,002.49
资产总计	64,034,559,471.63	负债和所有者(或股东权益)合计	64,034,559,471.63
科目	2015年度	科目	2015年度
一、营业收入	9,178,203,959.84	二、营业利润	1,888,624,657.36
减:营业成本	5,652,444,677.60	加:补贴收入	
营业税金及附加	1,093,127,326.79	营业外收入	41,908,521.16
销售费用	230,256,575.68	减:营业外支出	7,960,786.22
管理费用	412,543,906.22	其中:非流动资产处置净损失	88,834.58
堪探费用		加:影响利润总额的其他科目	
财务费用	89,593,544.55	三、利润总额	1,922,572,392.30
资产减值损失	55,066,871.65	减:所得税	438,975,838.56
加:公允价值变动净收益	32,101,122.53	加:影响净利润的其他科目	
投资收益	211,352,477.48	四、净利润	1,483,596,553.74
其中:对联营企业和合营企业的投资权益	127,145,921.86	归属于母公司所有者的净利润	1,429,031,990.90
影响营业利润的其他科目		少数股东损益	54,564,562.84

