科目	2015-12-31	科目	2015-12-31
货币资金	2,217,024,920.87	短期借款	82,870,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	118,040,946.79	应付账款	245,532,833.62
预付款项	683,542.07	预收款项	2,097,028,656.33
其他应收款	318,749,331.37	应付职工薪酬	661,734.23
应收关联公司款		应交税费	74,022,890.55
应收利息	3,484,135.77	应付利息	17,703,087.54
应收股利		应付股利	30,883,030.37
存货	7,597,372,491.35	其他应付款	1,819,884,373.47
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	46,000,000.00
其他流动资产	237,910,000.00	其他流动负债	
流动资产合计	10,493,265,368.22	流动负债合计	4,414,586,606.11
可供出售金融资产	17,100,000.00	长期借款	3,172,650,000.00
持有至到期投资		应付债券	893,019,804.30
长期应收款		长期应付款	
长期股权投资	278,049,507.16	专项应付款	
投资性房地产	97,705,406.61	预计负债	
固定资产	165,703,486.26	递延所得税负债	2,348,624.75
在建工程		其他非流动负债	
工程物资		非流动负债合计	4,068,018,429.05
固定资产清理		负债合计	8,482,605,035.16
生产性生物资产		实收资本(或股本)	729,213,663.00
油气资产		资本公积	1,151,238,702.43
无形资产		盈余公积	
开发支出		减:库存股	
商誉		未分配利润	607,526,181.35
长期待摊费用	906,376.02	少数股东权益	94,193,021.16
递延所得税资产	12,046,458.83	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	571,511,234.88	所有者权益(或股东权益)合计	2,582,171,567.94
资产总计	11,064,776,603.10	负债和所有者(或股东权益)合计	11,064,776,603.10
科目	2015年度	科目	2015年度
一、营业收入	761,524,571.02	二、营业利润	71,570,266.60
减:营业成本	577,142,028.16	加:补贴收入	
营业税金及附加	44,986,931.72	营业外收入	28,405,583.95
销售费用	7,630,610.13	减:营业外支出	2,174,285.95
管理费用	45,361,555.44	其中:非流动资产处置净损失	1,101,271.15
堪探费用		加:影响利润总额的其他科目	
财务费用	39,571,562.55	三、利润总额	97,801,564.60
资产减值损失	1,468,473.67	减:所得税	40,515,249.09
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	26,206,857.25	四、净利润	57,286,315.51
其中:对联营企业和合营企业的投资权益	-8,080,195.95	归属于母公司所有者的净利润	62,428,510.45
影响营业利润的其他科目		少数股东损益	-5,142,194.94

