科目	2015-12-31	科目	2015-12-31
货币资金	274,830,486.60	短期借款	186,892,000.00
交易性金融资产		交易性金融负债	
应收票据	5,051,294.28	应付票据	
应收账款	32,064,586.09	应付账款	263,677,722.18
预付款项	576,318,493.68	预收款项	194,501,824.70
其他应收款	483,573,709.40	应付职工薪酬	6,730,468.70
应收关联公司款		应交税费	61,056,142.07
应收利息		应付利息	353,160.55
应收股利		应付股利	5,936,694.76
存货	617,662,700.00	其他应付款	50,202,672.01
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	10,000,000.00
其他流动资产	2,401,991.29	其他流动负债	
流动资产合计	1,991,903,261.34	流动负债合计	779,350,684.97
可供出售金融资产	10,000.00	长期借款	696,337,045.54
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	41,799,391.28	专项应付款	
投资性房地产	508,332,722.25	预计负债	
固定资产	263,401,165.63	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	696,337,045.54
固定资产清理		负债合计	1,475,687,730.51
生产性生物资产		实收资本(或股本)	859,482,633.00
油气资产		资本公积	510,135,228.40
无形资产	35,608.31	盈余公积	62,895,962.64
开发支出		减:库存股	
商誉	270,942.75	未分配利润	-152,529,775.17
长期待摊费用	1,090,009.70	少数股东权益	75,068,335.77
递延所得税资产	23,897,013.89	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	838,836,853.81	所有者权益(或股东权益)合计	1,355,052,384.64
资产总计	2,830,740,115.15	负债和所有者(或股东权益)合计	2,830,740,115.15
科目	2015年度	科目	2015年度
一、营业收入	2,528,139,940.19	二、营业利润	-332,131,977.40
减:营业成本	2,239,426,154.04	加:补贴收入	
营业税金及附加	156,023,980.12	营业外收入	1,733,116.69
销售费用	64,716,846.91	减:营业外支出	4,764,282.21
管理费用	110,538,658.84	其中:非流动资产处置净损失	1,319,711.97
堪探费用		加:影响利润总额的其他科目	
财务费用	17,243,201.04	三、利润总额	-335,163,142.92
资产减值损失	249,206,262.76	减:所得税	16,996,825.06
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-23,116,813.88	四、净利润	-352,159,967.98
其中:对联营企业和合营企业的投资权益	-63,680,820.91	归属于母公司所有者的净利润	-358,385,593.52
影响营业利润的其他科目		少数股东损益	6,225,625.54

