科目	2015-12-31	科目	2015-12-31
货币资金	3,151,957,210.80	短期借款	1,130,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	163,755,412.47	应付账款	575,732,603.19
预付款项	70,281,439.00	预收款项	3,445,900,920.52
其他应收款	561,178,640.95	应付职工薪酬	1,262,724.41
应收关联公司款		应交税费	978,982,314.74
应收利息		应付利息	
应收股利		应付股利	
存货	6,102,074,788.45	其他应付款	1,720,819,022.63
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	3,208,630,000.00
其他流动资产	172,435,184.33	其他流动负债	
流动资产合计	10,221,682,676.00	流动负债合计	11,061,327,585.49
可供出售金融资产	2,049,683,143.20	长期借款	1,670,000,000.00
持有至到期投资		应付债券	2,010,407,865.85
长期应收款		长期应付款	
长期股权投资	110,663,604.21	专项应付款	
投资性房地产	1,141,490,000.00	预计负债	
固定资产	219,460,458.20	递延所得税负债	247,629,425.93
在建工程	649,588,279.51	其他非流动负债	683,614,007.35
工程物资	60,151.49	非流动负债合计	4,611,651,299.13
固定资产清理		负债合计	15,672,978,884.62
生产性生物资产		实收资本(或股本)	1,424,253,600.00
油气资产		资本公积	280,964,304.95
无形资产	595,152,630.58	盈余公积	68,883,758.94
开发支出		减:库存股	
商誉	1,256,924,617.68	未分配利润	2,814,144,293.94
长期待摊费用	1,013,294.25	少数股东权益	1,857,815.02
递延所得税资产	61,790,496.31	外币报表折算价差	
其他非流动资产	3,955,573,306.04	非正常经营项目收益调整	
非流动资产合计	10,041,399,981.47	所有者权益(或股东权益)合计	4,590,103,772.85
资产总计	20,263,082,657.47	负债和所有者(或股东权益)合计	20,263,082,657.47
科目	2015年度	科目	2015年度
一、营业收入	4,681,365,830.32	二、营业利润	1,280,790,687.02
减:营业成本	2,927,538,350.73	加:补贴收入	
营业税金及附加	442,287,980.38	营业外收入	171,123.96
销售费用	50,263,354.68	减:营业外支出	15,068,539.81
管理费用	144,659,609.43	其中:非流动资产处置净损失	12,028.62
堪探费用		加:影响利润总额的其他科目	
财务费用	296,934,744.08	三、利润总额	1,265,893,271.17
资产减值损失	43,881,217.57	减:所得税	386,672,658.09
加:公允价值变动净收益	7,977,312.07	加:影响净利润的其他科目	
投资收益	497,012,801.50	四、净利润	879,220,613.08
其中:对联营企业和合营企业的投资权益	10,753,206.11	归属于母公司所有者的净利润	882,616,633.81
影响营业利润的其他科目		少数股东损益	-3,396,020.73

