科目	2015-12-31	科目	2015-12-31
货币资金	1,783,211,306.65	短期借款	4,006,000,000.00
交易性金融资产		交易性金融负债	
应收票据	5,901,646.14	应付票据	234,800,000.00
应收账款	97,359,134.86	应付账款	1,565,842,900.62
预付款项	64,281,754.06	预收款项	600,784,271.77
其他应收款	3,265,817,884.47	应付职工薪酬	43,468,777.95
应收关联公司款		应交税费	123,380,995.28
应收利息		应付利息	140,002,864.32
应收股利		应付股利	20,360.46
存货	10,280,355,987.76	其他应付款	171,860,482.31
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产	256,196,979.34	一年内到期的非流动负债	2,342,149,561.22
其他流动资产	350,913,569.66	其他流动负债	
流动资产合计	16,104,038,262.94	流动负债合计	9,228,310,213.93
可供出售金融资产	233,030,878.55	长期借款	3,057,109,625.78
持有至到期投资		应付债券	1,881,826,399.43
长期应收款	424,321,053.20	长期应付款	19,387,707.00
长期股权投资	398,830,787.03	专项应付款	
投资性房地产	232,300,602.60	预计负债	
固定资产	1,624,533,204.20	递延所得税负债	
在建工程	431,843,003.00	其他非流动负债	55,095,603.22
工程物资		非流动负债合计	5,101,165,008.22
固定资产清理		负债合计	14,329,475,222.15
生产性生物资产		实收资本(或股本)	1,194,292,932.00
油气资产		资本公积	1,767,753,215.28
无形资产	588,469,368.97	盈余公积	289,273,380.85
开发支出		减:库存股	
商誉		未分配利润	1,677,096,248.02
长期待摊费用	2,690,867.63	少数股东权益	984,422,410.71
递延所得税资产	84,851,601.96	外币报表折算价差	
其他非流动资产	117,682,902.77	非正常经营项目收益调整	
非流动资产合计	4,138,554,269.91	所有者权益(或股东权益)合计	5,913,117,310.70
资产总计	20,242,592,532.85	负债和所有者(或股东权益)合计	20,242,592,532.85
科目	2015年度	科目	2015年度
一、营业收入	3,250,719,955.61	二、营业利润	-303,884,300.08
减:营业成本	2,768,015,933.95	加:补贴收入	
营业税金及附加	295,452,401.91	营业外收入	738,935,817.95
销售费用	180,877,858.87	减:营业外支出	7,926,880.29
管理费用	200,402,820.49	其中:非流动资产处置净损失	536,172.78
堪探费用		加:影响利润总额的其他科目	
财务费用	302,976,382.14	三、利润总额	427,124,637.58
资产减值损失	176,325,376.77	减:所得税	192,657,155.54
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	369,446,518.44	四、净利润	234,467,482.04
其中:对联营企业和合营企业的投资权益	22,198,398.27	归属于母公司所有者的净利润	191,416,296.59
影响营业利润的其他科目		少数股东损益	43,051,185.45

