科目	2015-12-31	科目	2015-12-31
货币资金	1,201,706,009.54	短期借款	100,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	3,000,664.18	应付账款	117,804,150.39
预付款项	28,754,344.36	预收款项	689,892,997.17
其他应收款	17,092,560.72	应付职工薪酬	2,577,012.64
应收关联公司款		应交税费	108,134,632.71
应收利息		应付利息	5,829,411.81
应收股利		应付股利	1,364,598.47
存货	4,013,123,645.52	其他应付款	461,911,907.73
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	180,000,000.00
其他流动资产	64,698,156.53	其他流动负债	
流动资产合计	5,328,375,380.85	流动负债合计	1,667,514,710.92
可供出售金融资产	56,200,000.00	长期借款	1,950,500,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	41,197,063.46
长期股权投资	156,451,745.36	专项应付款	
投资性房地产	534,139,085.11	预计负债	
固定资产	283,636,813.48	递延所得税负债	121,526,823.60
在建工程		其他非流动负债	
工程物资		非流动负债合计	2,113,223,887.06
固定资产清理		负债合计	3,780,738,597.98
生产性生物资产		实收资本(或股本)	1,140,487,712.00
油气资产		资本公积	250,926,869.93
无形资产	6,183,930.05	盈余公积	96,272,876.13
开发支出		减:库存股	44,488,000.00
商誉		未分配利润	598,330,757.24
长期待摊费用	17,621,432.80	少数股东权益	641,524,030.60
递延所得税资产	81,132,450.16	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,135,365,456.96	所有者权益(或股东权益)合计	2,683,002,239.83
资产总计	6,463,740,837.81	负债和所有者(或股东权益)合计	6,463,740,837.81
科目	2015年度	科目	2015年度
一、营业收入	409,027,854.52	二、营业利润	120,664,489.83
减:营业成本	148,105,236.90	加:补贴收入	
营业税金及附加	39,391,772.46	营业外收入	1,705,038.14
销售费用	23,454,120.35	减:营业外支出	893,969.25
管理费用	85,004,292.54	其中:非流动资产处置净损失	167,052.95
堪探费用		加:影响利润总额的其他科目	
财务费用	13,723,101.99	三、利润总额	121,475,558.72
资产减值损失	-7,062,393.69	减:所得税	26,780,173.19
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	14,252,765.86	四、净利润	94,695,385.53
其中:对联营企业和合营企业的投资权益	12,500,700.90	归属于母公司所有者的净利润	69,305,919.06
影响营业利润的其他科目		少数股东损益	25,389,466.47

