科目	2015-12-31	科目	2015-12-31
货币资金	826,951,266.87	短期借款	100,000,000.00
交易性金融资产	205,087,253.81	交易性金融负债	
应收票据		应付票据	
应收账款	18,226,454.68	应付账款	131,931,067.33
预付款项	2,070,321.96	预收款项	1,496,213,364.41
其他应收款	95,897,320.74	应付职工薪酬	15,116,024.18
应收关联公司款		应交税费	46,144,593.43
应收利息		应付利息	
应收股利		应付股利	23,906,102.23
存货	5,600,162,903.19	其他应付款	627,735,572.18
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	28,000,000.00
其他流动资产	358,924,667.49	其他流动负债	549,462,748.51
流动资产合计	7,135,789,819.86	流动负债合计	3,026,304,953.27
可供出售金融资产	34,691,479.48	长期借款	2,413,750,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	1,165,721,255.18	专项应付款	
投资性房地产	777,906,225.46	预计负债	
固定资产	10,683,857.63	递延所得税负债	4,316,336.10
在建工程		其他非流动负债	
工程物资		非流动负债合计	2,418,066,336.10
固定资产清理		负债合计	5,444,371,289.37
生产性生物资产		实收资本(或股本)	561,163,988.00
油气资产		资本公积	1,027,584,093.37
无形资产	3,616.37	盈余公积	308,859,950.16
开发支出		减:库存股	
商誉	939,251.60	未分配利润	1,656,708,073.45
长期待摊费用	234,943,622.00	少数股东权益	316,829,698.34
递延所得税资产	16,732,884.66	外币报表折算价差	
其他非流动资产	1,400,000.00	非正常经营项目收益调整	
非流动资产合计	2,243,022,192.38	所有者权益(或股东权益)合计	3,934,440,722.87
资产总计	9,378,812,012.24	负债和所有者(或股东权益)合计	9,378,812,012.24
科目	2015年度	科目	2015年度
一、营业收入	1,194,441,298.38	二、营业利润	240,302,891.14
减:营业成本	1,002,875,021.67	加:补贴收入	
营业税金及附加	67,415,054.97	营业外收入	38,404,059.04
销售费用	12,407,643.89	减:营业外支出	81,332.48
管理费用	128,019,017.73	其中:非流动资产处置净损失	17,122.87
堪探费用		加:影响利润总额的其他科目	
财务费用	49,396,327.05	三、利润总额	278,625,617.70
资产减值损失	6,572,764.78	减:所得税	45,240,071.03
加:公允价值变动净收益	1,165,138.28	加:影响净利润的其他科目	
投资收益	287,864,872.89	四、净利润	233,385,546.67
其中:对联营企业和合营企业的投资权益	109,710,296.23	归属于母公司所有者的净利润	226,762,219.87
影响营业利润的其他科目		少数股东损益	6,623,326.80

