科目	2015-12-31	科目	2015-12-31
货币资金	258,666,326.89	短期借款	746,900,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	
应收账款	32,235,500.62	应付账款	135,759,733.86
预付款项	9,708,372.22	预收款项	300,682,804.91
其他应收款	84,216,485.42	应付职工薪酬	10,652,347.49
应收关联公司款		应交税费	39,471,064.24
应收利息	5,508,012.49	应付利息	6,724,936.62
应收股利		应付股利	17,331.40
存货	1,641,890,778.83	其他应付款	64,753,563.22
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	100,000,000.00
其他流动资产	21,616,142.97	其他流动负债	
流动资产合计	2,053,841,619.44	流动负债合计	1,404,961,781.74
可供出售金融资产		长期借款	253,220,000.00
持有至到期投资		应付债券	
长期应收款	603,400,000.00	长期应付款	
长期股权投资	41,220,554.57	专项应付款	
投资性房地产	214,972,198.30	预计负债	
固定资产	80,823,052.63	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	255,834,955.64
固定资产清理		负债合计	1,660,796,737.38
生产性生物资产		实收资本(或股本)	622,755,604.00
油气资产		资本公积	554,760,211.79
无形资产	169,445,049.24	盈余公积	212,769,122.13
开发支出		减:库存股	
商誉		未分配利润	111,686,449.67
长期待摊费用	1,928,195.42	少数股东权益	21,943,372.80
递延所得税资产	21,097,805.83	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	1,132,886,855.99	所有者权益(或股东权益)合计	1,525,931,738.05
资产总计	3,186,728,475.43	负债和所有者(或股东权益)合计	3,186,728,475.43
科目	2015年度	科目	2015年度
一、营业收入	309,567,400.26	二、营业利润	-113,645,834.12
减:营业成本	222,962,136.87	加:补贴收入	
营业税金及附加	25,405,880.01	营业外收入	618,227.25
销售费用	36,886,550.25	减:营业外支出	1,261,044.91
管理费用	58,310,902.95	其中:非流动资产处置净损失	521,001.57
堪探费用		加:影响利润总额的其他科目	
财务费用	56,526,588.65	三、利润总额	-114,288,651.78
资产减值损失	410,478.94	减:所得税	-15,443,804.01
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-22,710,696.71	四、净利润	-98,844,847.77
其中:对联营企业和合营企业的投资权益		归属于母公司所有者的净利润	-92,062,660.73
影响营业利润的其他科目		少数股东损益	-6,782,187.04

