科目	2015-12-31	科目	2015-12-31
货币资金	9,332,987,729.74	短期借款	5,725,000,000.00
交易性金融资产		交易性金融负债	
应收票据	2,000,000.00	应付票据	
应收账款	160,264,305.79	应付账款	5,166,548,999.76
预付款项	38,903,254.88	预收款项	10,041,754,853.78
其他应收款	2,095,038,136.44	应付职工薪酬	128,754,062.02
应收关联公司款		应交税费	781,421,642.39
应收利息		应付利息	132,028,326.74
应收股利		应付股利	12,047,569.47
存货	37,918,286,027.93	其他应付款	1,452,094,309.87
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	3,050,754,716.82
其他流动资产		其他流动负债	
流动资产合计	49,547,479,454.78	流动负债合计	26,490,404,480.85
可供出售金融资产	35,180,000.00	长期借款	12,920,285,964.90
持有至到期投资		应付债券	3,771,187,762.17
长期应收款	53,402,915.70	长期应付款	
长期股权投资	570,687,321.81	专项应付款	
投资性房地产	3,780,961,264.22	预计负债	
固定资产	566,876,633.24	递延所得税负债	140,979,113.94
在建工程		其他非流动负债	
工程物资		非流动负债合计	17,745,344,063.45
固定资产清理		负债合计	44,235,748,544.30
生产性生物资产		实收资本(或股本)	1,813,731,596.00
油气资产		资本公积	279,672,314.20
无形资产	34,547,627.04	盈余公积	925,545,994.90
开发支出		减:库存股	
商誉	161,183,979.11	未分配利润	2,957,375,172.15
长期待摊费用	11,233,271.09	少数股东权益	5,107,333,756.75
递延所得税资产	560,098,525.90	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	5,774,171,538.11	所有者权益(或股东权益)合计	11,085,902,448.59
资产总计	55,321,650,992.89	负债和所有者(或股东权益)合计	55,321,650,992.89
科目	2015年度	科目	2015年度
一、营业收入	13,499,542,724.13	二、营业利润	1,386,202,707.48
减:营业成本	9,929,302,644.22	加:补贴收入	
营业税金及附加	1,481,317,680.30	营业外收入	38,001,106.18
销售费用	496,413,504.04	减:营业外支出	23,673,476.72
管理费用	359,839,474.78	其中:非流动资产处置净损失	15,470,113.23
堪探费用		加:影响利润总额的其他科目	
财务费用	477,601,336.90	三、利润总额	1,400,530,336.94
资产减值损失	251,498,663.94	减:所得税	399,308,038.55
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	882,633,287.53	四、净利润	1,001,222,298.39
其中:对联营企业和合营企业的投资权益	86,773,663.61	归属于母公司所有者的净利润	721,812,207.59
影响营业利润的其他科目		少数股东损益	279,410,090.80

