科目	2015-12-31	科目	2015-12-31
货币资金	1,446,009,987.76	短期借款	5,788,923,901.28
交易性金融资产		交易性金融负债	
应收票据	970,000.00	应付票据	686,998,479.92
应收账款	488,238,666.98	应付账款	1,716,037,313.04
预付款项	528,429,457.57	预收款项	3,593,883,919.96
其他应收款	1,256,630,875.80	应付职工薪酬	49,312,368.65
应收关联公司款		应交税费	1,609,067,884.59
应收利息		应付利息	19,594,721.88
应收股利		应付股利	7,664,827.26
存货	29,642,139,315.72	其他应付款	5,510,216,524.09
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	4,695,735,000.00
其他流动资产		其他流动负债	
流动资产合计	33,362,418,303.83	流动负债合计	23,677,434,940.67
可供出售金融资产	16,790,000.00	长期借款	7,130,320,000.00
持有至到期投资		应付债券	
长期应收款	6,100.00	长期应付款	
长期股权投资	15,779,616.57	专项应付款	
投资性房地产	517,227,609.89	预计负债	9,514,952.40
固定资产	344,448,153.90	递延所得税负债	
在建工程		其他非流动负债	98,000,000.00
工程物资		非流动负债合计	7,716,694,856.10
固定资产清理		负债合计	31,394,129,796.77
生产性生物资产		实收资本(或股本)	1,804,191,500.00
油气资产		资本公积	-900,719,211.68
无形资产	20,748,441.35	盈余公积	185,679,641.20
开发支出		减:库存股	
商誉	114,897,749.06	未分配利润	860,971,854.66
长期待摊费用	45,684,407.64	少数股东权益	1,293,036,888.13
递延所得税资产	51,278,459.47	外币报表折算价差	
其他非流动资产	195,031,154.00	非正常经营项目收益调整	
非流动资产合计	1,321,891,691.88	所有者权益(或股东权益)合计	3,290,180,198.94
资产总计	34,684,309,995.71	负债和所有者(或股东权益)合计	34,684,309,995.71
科目	2015年度	科目	2015年度
一、营业收入	4,055,654,888.02	二、营业利润	-2,658,452,219.90
减:营业成本	4,073,801,067.77	加:补贴收入	
营业税金及附加	1,290,530,664.69	营业外收入	13,525,520.43
销售费用	229,473,527.72	减:营业外支出	19,016,724.93
管理费用	451,014,052.58	其中:非流动资产处置净损失	364,734.51
堪探费用		加:影响利润总额的其他科目	
财务费用	651,997,727.27	三、利润总额	-2,663,943,424.40
资产减值损失	319,209,876.11	减:所得税	19,640,715.76
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	301,919,808.22	四、净利润	-2,683,584,140.16
其中:对联营企业和合营企业的投资权益	-8,844,438.82	归属于母公司所有者的净利润	-2,343,442,826.94
影响营业利润的其他科目		少数股东损益	-340,141,313.22

