科目	2015-12-31	科目	2015-12-31
货币资金	9,389,188,261.83	短期借款	1,881,600,000.00
交易性金融资产		交易性金融负债	
应收票据	50,000.00	应付票据	1,317,213,982.92
应收账款	729,045,821.34	应付账款	8,119,789,135.92
预付款项	1,009,262,108.49	预收款项	26,584,971,159.41
其他应收款	1,482,706,483.68	应付职工薪酬	286,398,577.70
应收关联公司款		应交税费	867,248,449.55
应收利息		应付利息	427,455,534.33
应收股利		应付股利	28,384,920.68
存货	72,163,859,948.41	其他应付款	2,902,618,677.64
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	18,099,147,400.00
其他流动资产	2,613,349,329.77	其他流动负债	
流动资产合计	87,387,461,953.52	流动负债合计	60,514,827,838.15
可供出售金融资产	215,456,732.98	长期借款	13,294,059,999.99
持有至到期投资		应付债券	5,313,257,329.71
长期应收款		长期应付款	
长期股权投资	391,087,261.46	专项应付款	
投资性房地产	2,888,950,566.79	预计负债	
固定资产	2,528,455,846.44	递延所得税负债	548,820,645.64
在建工程	158,257,610.66	其他非流动负债	463,763,400.00
工程物资		非流动负债合计	19,699,866,871.96
固定资产清理		负债合计	80,214,694,710.11
生产性生物资产		实收资本(或股本)	4,327,060,153.00
油气资产		资本公积	580,341,350.91
无形资产	59,755,242.20	盈余公积	309,916,162.14
开发支出		减:库存股	618,351,200.00
商誉	496,293,398.50	未分配利润	6,234,162,595.74
长期待摊费用	27,303,007.41	少数股东权益	2,484,100,010.05
递延所得税资产	1,329,775,079.23	外币报表折算价差	
其他非流动资产	70,000,000.00	非正常经营项目收益调整	
非流动资产合计	8,165,334,745.67	所有者权益(或股东权益)合计	15,338,101,989.08
资产总计	95,552,796,699.19	负债和所有者(或股东权益)合计	95,552,796,699.19
科目	2015年度	科目	2015年度
一、营业收入	19,398,573,320.90	二、营业利润	1,743,440,146.20
减:营业成本	13,887,003,656.98	加:补贴收入	
营业税金及附加	1,479,769,073.29	营业外收入	99,001,510.70
销售费用	693,511,364.21	减:营业外支出	57,761,507.63
管理费用	922,634,484.07	其中:非流动资产处置净损失	428,538.06
堪探费用		加:影响利润总额的其他科目	
财务费用	268,251,960.03	三、利润总额	1,784,680,149.27
资产减值损失	480,664,585.20	减:所得税	551,034,068.30
加:公允价值变动净收益	39,863,547.99	加:影响净利润的其他科目	
投资收益	36,838,401.09	四、净利润	1,233,646,080.97
其中:对联营企业和合营企业的投资权益	-5,152,881.59	归属于母公司所有者的净利润	1,266,959,610.26
影响营业利润的其他科目		少数股东损益	-33,313,529.29

