科目	2015-12-31	科目	2015-12-31
货币资金	949,016,456.63	短期借款	1,090,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	72,260,761.68
应收账款	1,429.80	应付账款	417,730,534.58
预付款项	251,979.99	预收款项	2,017,684,122.00
其他应收款	40,250,506.78	应付职工薪酬	5,591,035.35
应收关联公司款		应交税费	334,640,038.58
应收利息		应付利息	2,815,138.89
应收股利		应付股利	2,673,645.32
存货	6,510,275,167.29	其他应付款	201,551,210.57
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	
其他流动资产		其他流动负债	
流动资产合计	7,499,795,540.49	流动负债合计	4,144,946,486.97
可供出售金融资产		长期借款	1,108,000,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	285,481,421.53	专项应付款	
投资性房地产	20,082,962.54	预计负债	
固定资产	2,780,703.78	递延所得税负债	
在建工程		其他非流动负债	
工程物资		非流动负债合计	1,108,000,000.00
固定资产清理		负债合计	5,252,946,486.97
生产性生物资产		实收资本(或股本)	512,717,581.00
油气资产		资本公积	86,674,226.82
无形资产		盈余公积	67,479,877.89
开发支出		减:库存股	
商誉		未分配利润	1,285,427,250.42
长期待摊费用	1,114,456.57	少数股东权益	789,346,891.10
递延所得税资产	185,337,229.29	外币报表折算价差	
其他非流动资产		非正常经营项目收益调整	
非流动资产合计	494,796,773.71	所有者权益(或股东权益)合计	2,741,645,827.23
资产总计	7,994,592,314.20	负债和所有者(或股东权益)合计	7,994,592,314.20
科目	2015年度	科目	2015年度
一、营业收入	1,443,643,633.70	二、营业利润	310,035,019.57
减:营业成本	692,806,527.91	加:补贴收入	
营业税金及附加	268,180,236.70	营业外收入	594,513.25
销售费用	124,806,411.11	减:营业外支出	58,043.93
管理费用	90,549,824.98	其中:非流动资产处置净损失	
堪探费用		加:影响利润总额的其他科目	
财务费用	-3,664,513.64	三、利润总额	310,571,488.89
资产减值损失	-24,415,991.18	减:所得税	67,562,866.12
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	14,653,881.75	四、净利润	243,008,622.77
其中:对联营企业和合营企业的投资权益	4,377,145.65	归属于母公司所有者的净利润	142,365,935.22
影响营业利润的其他科目		少数股东损益	100,642,687.55

