科目	2015-12-31	科目	2015-12-31
货币资金	2,846,638,204.75	短期借款	865,000,000.00
交易性金融资产		交易性金融负债	
应收票据		应付票据	296,505,550.00
应收账款	12,885,126.08	应付账款	536,701,003.24
预付款项	22,647,913.62	预收款项	711,996,174.99
其他应收款	73,968,740.02	应付职工薪酬	8,499,131.62
应收关联公司款		应交税费	181,688,997.97
应收利息	1,494,311.11	应付利息	7,729,741.09
应收股利		应付股利	1,786,039.81
存货	3,372,935,691.18	其他应付款	559,066,650.27
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	127,100,000.00
其他流动资产	28,192,368.38	其他流动负债	
流动资产合计	6,358,762,355.14	流动负债合计	3,296,073,288.99
可供出售金融资产	38,730,001.34	长期借款	2,130,000,000.00
持有至到期投资		应付债券	
长期应收款		长期应付款	
长期股权投资	24,663,633.20	专项应付款	
投资性房地产	156,318,092.37	预计负债	2,060,999.52
固定资产	66,959,738.87	递延所得税负债	3,307,500.32
在建工程	66,214,663.13	其他非流动负债	11,890,324.83
工程物资		非流动负债合计	2,147,258,824.67
固定资产清理		负债合计	5,443,332,113.66
生产性生物资产		实收资本(或股本)	469,593,364.00
油气资产		资本公积	274,235,458.56
无形资产	16,953,521.16	盈余公积	188,489,588.81
开发支出		减:库存股	
商誉		未分配利润	383,557,677.95
长期待摊费用		少数股东权益	-221,432.95
递延所得税资产	33,187,425.84	外币报表折算价差	
其他非流动资产	7,119,840.00	非正常经营项目收益调整	
非流动资产合计	410,146,915.91	所有者权益(或股东权益)合计	1,325,577,157.39
资产总计	6,768,909,271.05	负债和所有者(或股东权益)合计	6,768,909,271.05
科目	2015年度	科目	2015年度
一、营业收入	1,665,729,176.07	二、营业利润	107,527,806.19
减:营业成本	1,113,312,219.20	加:补贴收入	
营业税金及附加	182,949,335.78	营业外收入	855,661.63
销售费用	69,670,826.58	减:营业外支出	6,496,884.47
管理费用	97,419,047.62	其中:非流动资产处置净损失	159,621.42
堪探费用		加:影响利润总额的其他科目	
财务费用	56,836,151.81	三、利润总额	101,886,583.35
资产减值损失	28,946,750.38	减:所得税	39,842,001.83
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-9,067,038.51	四、净利润	62,044,581.52
其中:对联营企业和合营企业的投资权益	-9,292,109.80	归属于母公司所有者的净利润	62,049,579.76
影响营业利润的其他科目		少数股东损益	-4,998.24

