科目	2015-12-31	科目	2015-12-31
货币资金	3,410,433,491.29	短期借款	1,921,060,774.92
交易性金融资产		交易性金融负债	
应收票据	500,000.00	应付票据	765,614,406.21
应收账款	357,129,925.47	应付账款	2,630,829,143.69
预付款项	106,975,524.06	预收款项	6,147,106,714.10
其他应收款	1,339,118,944.84	应付职工薪酬	48,393,671.26
应收关联公司款		应交税费	401,946,818.35
应收利息		应付利息	125,696,340.58
应收股利		应付股利	
存货	20,224,565,145.45	其他应付款	474,197,357.82
其中:消耗性生物资产		应付关联公司款	
一年内到期的非流动资产		一年内到期的非流动负债	1,464,890,000.00
其他流动资产	612,848,263.81	其他流动负债	
流动资产合计	26,051,571,294.92	流动负债合计	13,979,735,226.93
可供出售金融资产	50,000,000.00	长期借款	3,521,190,000.00
持有至到期投资		应付债券	2,980,789,979.73
长期应收款		长期应付款	
长期股权投资	115,667,983.19	专项应付款	
投资性房地产	74,882,589.08	预计负债	
固定资产	127,270,237.83	递延所得税负债	48,470,067.87
在建工程	370,321.53	其他非流动负债	
工程物资		非流动负债合计	6,551,450,047.60
固定资产清理		负债合计	20,531,185,274.53
生产性生物资产		实收资本(或股本)	2,345,861,984.00
油气资产		资本公积	2,294,974,852.20
无形资产	59,600,126.95	盈余公积	103,881,488.98
开发支出		减:库存股	
商誉	408,205.66	未分配利润	1,400,184,841.85
长期待摊费用	2,514,652.47	少数股东权益	95,416,728.71
递延所得税资产	254,219,758.64	外币报表折算价差	
其他非流动资产	35,000,000.00	非正常经营项目收益调整	
非流动资产合计	719,933,875.35	所有者权益(或股东权益)合计	6,240,319,895.74
资产总计	26,771,505,170.27	负债和所有者(或股东权益)合计	26,771,505,170.27
科目	2015年度	科目	2015年度
一、营业收入	7,731,239,973.68	二、营业利润	690,750,425.41
减:营业成本	5,671,865,494.76	加:补贴收入	
营业税金及附加	476,982,390.01	营业外收入	16,764,695.20
销售费用	355,226,736.89	减:营业外支出	17,843,607.86
管理费用	235,795,396.33	其中:非流动资产处置净损失	1,088,397.44
堪探费用		加:影响利润总额的其他科目	
财务费用	150,708,740.63	三、利润总额	689,671,512.75
资产减值损失	135,539,278.29	减:所得税	223,744,693.33
加:公允价值变动净收益		加:影响净利润的其他科目	
投资收益	-14,371,511.36	四、净利润	465,926,819.42
其中:对联营企业和合营企业的投资权益	-14,371,511.36	归属于母公司所有者的净利润	468,504,132.07
影响营业利润的其他科目		少数股东损益	-2,577,312.65

